Reference,SubReg,Aggressor,Victim,Descript,Desc1,Desc2,Desc3,Desc4,Desc5,Desc6,Date,Year,PolygonID,MRGID,GeoName,Pol_type,MRGID_Ter1,Territory1,MRGID_Sov1,Sovereign1,ISO_Ter1,MRGID_Ter2,Territory2,MRGID_Sov2,Sovereign2,ISO_Ter2,MRGID_Ter3,Territory3,MRGID_Sov3,Sovereign3,ISO_Ter3,x_1,y_1,Area_km2,MRGID_EEZ
2017-89,57,Pirates,Bulk Carrier,NA,"NIGERIA:On 30 March at 0800Z a bulk carrier was attacked in 04-01N 006-48E. Four persons in a small boat boarded the vessel as it approached the pilot station. Five crew members escaped after being kidnapped by the pirates.UPDATE:On 25 April, five",Filipino seafarers who were kidnapped by Nigerian pirates last month returned home and were reunited with their families in Manila. The seamen recounted that heavily armed Nigerian pirates stormed their cargo ship and abducted five Filipinos from the,"ship. The seamen said the rest of the crew hid and were spared by the pirates. According to the seamen, the pirates released the kidnapped victims after the shipping company negotiated with the pirates, presumably with ransom payments.",NA,NA,NA,2017-03-30,2017,166,8474,Nigerian Exclusive Economic Zone,200NM,2253,Nigeria,2253,Nigeria,NGA,0,NA,0,NA,NA,0,NA,0,NA,NA,4.82278332072,4.08512461991,179050.962041,8474
2017-103,73,Pirates,Vessel,NA,"PAPUA NEW GUINEA:In late March, a group of 13 persons, including two foreign missionaries, were robbed at knife point as they were travelling to Fergusson Island, Milne Bay province, in vicinity09-24S 150-40E, via motor boat. The pirates stole almost","everything from the group, except one mobile phone which was later used to call for help.",NA,NA,NA,NA,2017-03-30,2017,217,8324,Papua New Guinean Exclusive Economic Zone,200NM,2237,Papua New Guinea,2237,Papua New Guinea,PNG,0,NA,0,NA,NA,0,NA,0,NA,NA,150.717739785,-5.46159340329,2399610.72138,8324
2017-98,57,Pirates,Tanker,NA,"NIGERIA:On 29 March, armed pirates in a boat chased and fired upon a tanker underway near position 04-05N 004-42E, 64 nm southwest of the Bayelsa Coast. The onboard armed naval security team returned fire resulting in the pirates aborting the attack and",moving away. All crew are safe. The tanker continued her voyage to the next port.,NA,NA,NA,NA,2017-03-29,2017,166,8474,Nigerian Exclusive Economic Zone,200NM,2253,Nigeria,2253,Nigeria,NGA,0,NA,0,NA,NA,0,NA,0,NA,NA,4.82278332072,4.08512461991,179050.962041,8474
2017-87,57,Pirates,Product Tanker,NA,"NIGERIA:On 29 March at 1233Z in vicinity 04-00N 004-40E, an underway product tanker was attacked by pirates.",NA,NA,NA,NA,NA,2017-03-29,2017,166,8474,Nigerian Exclusive Economic Zone,200NM,2253,Nigeria,2253,Nigeria,NGA,0,NA,0,NA,NA,0,NA,0,NA,NA,4.82278332072,4.08512461991,179050.962041,8474
2017-88,57,Pirates,Vessel,NA,NIGERIA:On 29 March at 1305Z a vessel was attacked in 04-09.58N 004-37.18E.,NA,NA,NA,NA,NA,2017-03-29,2017,166,8474,Nigerian Exclusive Economic Zone,200NM,2253,Nigeria,2253,Nigeria,NGA,0,NA,0,NA,NA,0,NA,0,NA,NA,4.82278332072,4.08512461991,179050.962041,8474
2017-109,25,Robbers,Sailing Vessel,NA,"SAINT VINCENT AND THE GRENADINES:On 28 March, two robbers boarded a sailing yacht anchored in Charlestown Bay, vicinity12-42N 061-20W. The yacht owner succeeded in scaring away the robbers and nothing was stolen. Report made to local authorities.",NA,NA,NA,NA,NA,2017-03-28,2017,91,8421,Saint Vincent and the Grenadines Exclusive Economic Zone,200NM,8651,Saint Vincent and the Grenadines,8651,Saint Vincent and the Grenadines,VCT,0,NA,0,NA,NA,0,NA,0,NA,NA,-61.6944240413,13.1580517887,36243.1925939,8421
2017-90,24,Robbers,Tanker,NA,"COLOMBIA:On 28 March at 0845Z in 10-19.3N 075-32.1W, an anchored tanker was boarded by pirates. The alarm was raised and crew mustered. Seeing the alerted crew, the robbers escaped with stolen ship's property.",NA,NA,NA,NA,NA,2017-03-28,2017,128,8426,Colombian Exclusive Economic Zone,200NM,2175,Colombia,2175,Colombia,COL,0,NA,0,NA,NA,0,NA,0,NA,NA,-78.0622198147,8.60754392884,718163.16433,8426
2017-85,71,Sucpicious Approach,Tanker,NA,"INDONESIA:On 26 March at 1254Z, an underway tanker was approached by two speed boats with two persons in each boat. Vessel took evasive action, sounded the horn and directed signal lamp towards boats. At a distance of 15 meters from the tanker, the speed",boats aborted and moved away.,NA,NA,NA,NA,2017-03-26,2017,220,8492,Indonesian Exclusive Economic Zone,200NM,2127,Indonesia,2127,Indonesia,IDN,0,NA,0,NA,NA,0,NA,0,NA,NA,117.898147552,-3.30903479808,6025109.71458,8492
2017-101,71,Robbers,Product Tanker,NA,"INDONESIA:On 26 March, one robber attempted to board an anchored product tanker near position01-43N 101-26E, Lubuk Gaung Anchorage, Dumai. Alert crewman noticed the robber and raised the alarm. Seeing the crew's alertness, the robber escaped in a boat",with three accomplices. The robbers were apprehended by Indonesian Marine Police patrolling in the vicinity.,NA,NA,NA,NA,2017-03-26,2017,220,8492,Indonesian Exclusive Economic Zone,200NM,2127,Indonesia,2127,Indonesia,IDN,0,NA,0,NA,NA,0,NA,0,NA,NA,117.898147552,-3.30903479808,6025109.71458,8492
2017-97,25,Robbers,Sailing Vessel,NA,"SAINT VINCENT AND THE GRENADINES:On 26 March, a dinghy and small outboard motor were stolen from a yacht anchored in Saline Bay, in vicinity 12-38N 061-24W. Report made to local area authorities.",NA,NA,NA,NA,NA,2017-03-26,2017,91,8421,Saint Vincent and the Grenadines Exclusive Economic Zone,200NM,8651,Saint Vincent and the Grenadines,8651,Saint Vincent and the Grenadines,VCT,0,NA,0,NA,NA,0,NA,0,NA,NA,-61.6944240413,13.1580517887,36243.1925939,8421
2017-100,72,Robbers,Bulk Carrier,NA,"INDONESIA:On 26 March, duty crewman on routine rounds onboard a bulk carrier anchored near position 03-43S 114-25E, Taboneo Anchorage, noticed the forecastle store room door lock was broken. Further checks made on the forecastle indicated that the hawse",pipe cover securing arrangements were cut through. The crewman informed the bridge and alarm was raised. Crew mustered and went to the forecastle and found ship's stores were stolen. Port Control informed.,NA,NA,NA,NA,2017-03-26,2017,220,8492,Indonesian Exclusive Economic Zone,200NM,2127,Indonesia,2127,Indonesia,IDN,0,NA,0,NA,NA,0,NA,0,NA,NA,117.898147552,-3.30903479808,6025109.71458,8492
2017-94,91,Robbers,Tanker,NA,"PHILIPPINES:On 26 March, duty crew onboard a tanker anchored near position 13-43N 121-02E, Batangas Anchorage, noticed a robber on the forecastle as he approached during routine rounds. The robber threatened the crewman with a knife, resulting in the","duty crew raising the alarm and retreating. Seeing the crew's alertness, the robber escaped in a boat. On conducting a thorough security check, ship properties found missing. Incident reported to the Philippines Coast Guard and Port Authority.",NA,NA,NA,NA,2017-03-26,2017,179,8322,Philippines Exclusive Economic Zone,200NM,2245,Philippines,2245,Philippines,PHL,0,NA,0,NA,NA,0,NA,0,NA,NA,122.546805869,12.3401155141,1971039.86154,8322
2017-86,62,Mothership Activity,Vessel,NA,"SOMALIA:On 24 March, possible mothership operations in area within 300 miles of 07-58N 049-53E have been reported.",NA,NA,NA,NA,NA,2017-03-24,2017,218,8350,Somali Exclusive Economic Zone,200NM,2187,Federal Republic of Somalia,2187,Federal Republic of Somalia,SOM,0,NA,0,NA,NA,0,NA,0,NA,NA,48.7178065692,5.38119709067,781835.626833,8350
2017-78,92,Pirates,Cargo Vessel,NA,"PHILIPPINES:On 23 March, probable Abu Sayyaf militants boarded the vehicle carrier SUPER SHUTTLE RORO 9, in vicinity 06-32N 122-34E, approximately 19 nm southeast of Sibago Island, in the Moro Gulf. Four crewmen were kidnapped during the boarding,","including the Master and Engineer.UPDATE:On 25 March, Philippine military elements rescued the Captain of the tug boat. On 27 March, Philippine military elements rescued the Engineer of the tug boat.",NA,NA,NA,NA,2017-03-23,2017,179,8322,Philippines Exclusive Economic Zone,200NM,2245,Philippines,2245,Philippines,PHL,0,NA,0,NA,NA,0,NA,0,NA,NA,122.546805869,12.3401155141,1971039.86154,8322
2017-102,91,Robbers,LPG Tanker,NA,"PHILIPPINES:On 21 March, one robber boarded an LPG tanker anchored near position13-40N 121-03E, JG Summit Berth, Batangas, during loading operations. An alert duty crewman saw a robber hiding near the starboard winches. When confronted, the robber","threatened the crew with a long knife. Alarm was raised and crew was alerted. Seeing the alerted crew, the robber escaped in a waiting boat with his accomplice. On searching the tanker after the incident, the crew reported ship's properties were stolen.",Local authorities and local agents informed.,NA,NA,NA,2017-03-21,2017,179,8322,Philippines Exclusive Economic Zone,200NM,2245,Philippines,2245,Philippines,PHL,0,NA,0,NA,NA,0,NA,0,NA,NA,122.546805869,12.3401155141,1971039.86154,8322
2017-79,71,Robbers,Tanker,NA,"INDONESIA:On 19 March, duty crewman on routine rounds onboard a tanker anchored near position 01-42N 101-28E: 0.8 nm off Pulat Rupat, Dumai, noticed one person attempting to climb onboard by using a hook attached to a bamboo stick. The duty crewman","informed the duty officer who raised alarm. Seeing the alerted crew, the intruders aborted and moved away.",NA,NA,NA,NA,2017-03-19,2017,220,8492,Indonesian Exclusive Economic Zone,200NM,2127,Indonesia,2127,Indonesia,IDN,0,NA,0,NA,NA,0,NA,0,NA,NA,117.898147552,-3.30903479808,6025109.71458,8492
2017-80,63,Robbers,Cargo Vessel,NA,"BANGLADESH:On 19 March, four armed men boarded the container ship SANTA FIORENZA, anchored near position 22-05N 091-48E, Chittagong Anchorage, and stole several gas cylinders. The master reported the incident to the Bangladesh Coast Guard via VHF Channel",12. They are investigating the incident.,NA,NA,NA,NA,2017-03-19,2017,164,8481,Bangladeshi Exclusive Economic Zone,200NM,2142,Bangladesh,2142,Bangladesh,BGD,0,NA,0,NA,NA,0,NA,0,NA,NA,90.5397686404,20.4111789845,112302.620749,8481
2017-92,28,Robbers,Sailing Vessel,NA,"GUATEMALA:On 18 March, an unknown number of robbers boarded a sailing yacht anchored in Shell Bay Anchorage, Rio Dulce, in vicinity 15-55N 088-43W. They were able to steal electric tools, anchor line and electronics and escape. Incident announced on","local, VHF radio net but not reported to local police.",NA,NA,NA,NA,2017-03-18,2017,67,8430,Guatemalan Exclusive Economic Zone,200NM,2097,Guatemala,2097,Guatemala,GTM,0,NA,0,NA,NA,0,NA,0,NA,NA,-92.0907971305,12.5524312281,110643.131743,8430
2017-77,24,Pirates,Sailing Vessel,NA,"COLOMBIA:On 15 March, a sailing yacht anchored at Isla Baru, in vicinity 10-10N 075-40W, was boarded by four men armed with a gun and a machete. They assaulted the Captain, hitting him with an oar, the machete and the gun. They ransacked the yacht,","stealing a computer, an unopened safe and a jar of peanut butter. Incident reported to local police and the local Coast Guard.",NA,NA,NA,NA,2017-03-15,2017,128,8426,Colombian Exclusive Economic Zone,200NM,2175,Colombia,2175,Colombia,COL,0,NA,0,NA,NA,0,NA,0,NA,NA,-78.0622198147,8.60754392884,718163.16433,8426
2017-68,62,Pirates,Tanker,NA,"SOMALIA:On 13 March, Somali pirates hijacked the Comoros-flagged tanker ARIS 13 as the ship was in transit with a cargo of fuel from Djibouti to Mogadishu, in vicinity 11-47N 050-31E.The ARIS 13 sent a distress call, turned off its tracking system and","altered course for the Somali port town of Alula, said a spokesman for the aid group Oceans Beyond Piracy. The ship reported it was being followed by two skiffs, and then it disappeared he said. Aircraft from regional naval force EU NAVFOR were flying","overhead to track the ship. The gunmen told a local Somali official they are fishermen whose equipment was destroyed by foreign illegal fishing vessels. Ali Shire Mohamud Osman, the district commissioner in the town of Alula, near where the ship has been","taken, said that he was trying to find out if the gunmen really were fishermen or were organized pirates. The tanker has a crew of eight Sri Lankans. This is the first time Somali pirates have successfully taken a commercial ship since 2012. Experts said","the ship was an easy target and ship owners were becoming lax after a long period without many attacks. On 16 March, a gun battle erupted between pirates onboard the ship and a detachment of troops from the Puntland Marine Police Force (PMPF), with one","PMPF trooper reportedly injured in the firefight.UPDATE:On 16 March, the Somali pirates who hijacked the vessel carrying fuel in Calula area coastline reportedly released the ship without any condition.",2017-03-13,2017,218,8350,Somali Exclusive Economic Zone,200NM,2187,Federal Republic of Somalia,2187,Federal Republic of Somalia,SOM,0,NA,0,NA,NA,0,NA,0,NA,NA,48.7178065692,5.38119709067,781835.626833,8350
2017-82,71,Robbers,Chemical Tanker,NA,"INDONESIA:On 11 March, an unknown number of robbers boarded a chemical tanker anchored near position 01-42N 101-26E, Lubuk Gaung Inner Anchorage, Dumai. The robbers stole ship's properties and escaped unnoticed. The theft was noticed by the duty crew",during routine rounds. Incident reported to the local agents.,NA,NA,NA,NA,2017-03-11,2017,220,8492,Indonesian Exclusive Economic Zone,200NM,2127,Indonesia,2127,Indonesia,IDN,0,NA,0,NA,NA,0,NA,0,NA,NA,117.898147552,-3.30903479808,6025109.71458,8492
2017-73,62,Pirates,Vessel,NA,"YEMEN:On 10 March, a Yemen Coast Guard vessel struck a mine in waters of the southern Red Sea, in vicinity 13-46N 042-13E, killing eight sailors and wounding eight others, including the vessel's captain.",NA,NA,NA,NA,NA,2017-03-10,2017,136,8351,Eritrean Exclusive Economic Zone,200NM,2111,Eritrea,2111,Eritrea,ERI,0,NA,0,NA,NA,0,NA,0,NA,NA,40.5925502681,15.8234585394,78108.5928819,8351
2017-60,57,Pirates,Vessel,NA,NIGERIA:Vessel attacked in 03-03N 006-57E on 10 March at 0630Z.,NA,NA,NA,NA,NA,2017-03-10,2017,166,8474,Nigerian Exclusive Economic Zone,200NM,2253,Nigeria,2253,Nigeria,NGA,0,NA,0,NA,NA,0,NA,0,NA,NA,4.82278332072,4.08512461991,179050.962041,8474
2017-65,62,Suspicous Approach,Vessel,NA,"GULF OF ADEN:On 09 March 2017 at 0845 UTC in position 13-52N - 050-20E, an MV reported two motherships had deployed four skiffs that approached the MV to within 1 cable. Onboard armed security team showed weapons and skiffs retreated. Vessel is safe.",NA,NA,NA,NA,NA,2017-03-09,2017,160,8353,Yemeni Exclusive Economic Zone,200NM,2199,Yemen,2199,Yemen,YEM,0,NA,0,NA,NA,0,NA,0,NA,NA,52.0616096242,12.8890558088,527382.733788,8353
2017-83,71,Robbers,Product Tanker,NA,"INDONESIA:On 09 March, duty crewman onboard a product tanker anchored near position05-52S 105-59E, Merak Anchorage OPL, noticed a boat close to the stern and informed the duty officer. Alarm was raised and crew was mustered. Hearing the alarm, one robber",was seen jumping overboard and escaping in the boat. Nothing reported stolen.,NA,NA,NA,NA,2017-03-09,2017,220,8492,Indonesian Exclusive Economic Zone,200NM,2127,Indonesia,2127,Indonesia,IDN,0,NA,0,NA,NA,0,NA,0,NA,NA,117.898147552,-3.30903479808,6025109.71458,8492
2017-58,57,Pirates,Vessel,NA,NIGERIA:Vessel attacked in 03-16N 004-31E on 08 March at 0830Z.,NA,NA,NA,NA,NA,2017-03-08,2017,166,8474,Nigerian Exclusive Economic Zone,200NM,2253,Nigeria,2253,Nigeria,NGA,0,NA,0,NA,NA,0,NA,0,NA,NA,4.82278332072,4.08512461991,179050.962041,8474
2017-72,57,Pirates,Bulk Carrier,NA,"NIGERIA:On 08 March, the bulk carrier SOFIA was near position 03-20N 004-29E 120 nm southwest of Brass, Bayelsa State while en route from Lagos to Owendo Anchorage, Libreville, Gabon when seven armed persons in a skiff approached and fired upon the ship.","Master and crew undertook following actions: alarm raised, ship increased speed and commenced evasive maneuvering. All non-essential crew retreated to the Citadel. After 40 minutes, the skiffs aborted the attack and moved away. Crew reported as safe.",Ship sustained some damage due to the gun firing.,NA,NA,NA,2017-03-08,2017,166,8474,Nigerian Exclusive Economic Zone,200NM,2253,Nigeria,2253,Nigeria,NGA,0,NA,0,NA,NA,0,NA,0,NA,NA,4.82278332072,4.08512461991,179050.962041,8474
2017-59,57,Pirates,Bulk Carrier,NA,"NIGERIA:On 08 March at 0800Z in 03-20.0N 004-28.9E, a bulk carrier was attacked. The vessel managed to evade the threat.",NA,NA,NA,NA,NA,2017-03-08,2017,166,8474,Nigerian Exclusive Economic Zone,200NM,2253,Nigeria,2253,Nigeria,NGA,0,NA,0,NA,NA,0,NA,0,NA,NA,4.82278332072,4.08512461991,179050.962041,8474
2017-66,62,Suspicious Approach,Vessel,NA,"GULF OF ADEN:On 07 March at 0834 UTC in position LAT 13-12N 048-58E, an MV reported being followed by a two skiffs with 16 - 20 armed persons. Skiffs followed astern for 40 minutes. MV is safe.",NA,NA,NA,NA,NA,2017-03-07,2017,160,8353,Yemeni Exclusive Economic Zone,200NM,2199,Yemen,2199,Yemen,YEM,0,NA,0,NA,NA,0,NA,0,NA,NA,52.0616096242,12.8890558088,527382.733788,8353
2017-57,71,Suspicious Approach,Cargo Vessel,NA,"PHILIPPINES:On 05 March, a skiff with six persons onboard approached and followed general cargo ship PHU AN 268 for approximately 1.5 hours. The skiff initially started following the ship near position 06-20N 118-08E, 4.43 nm northeast of Lihiman Island.","Master raised the alarm, increased speed and activated fire hoses. Incident reported to Malaysianauthorities. A patrol vessel rendezvoused with the vessel and escorted her to Sandakan port. All crew safe.",NA,NA,NA,NA,2017-03-05,2017,179,8322,Philippines Exclusive Economic Zone,200NM,2245,Philippines,2245,Philippines,PHL,0,NA,0,NA,NA,0,NA,0,NA,NA,122.546805869,12.3401155141,1971039.86154,8322
2017-63,25,Robbers,Product Tanker,NA,"VENEZUELA:On 01 March, three robbers boarded an anchored product tanker near position10-16N 064-42W, Puerto La Cruz. Alert crewman noticed the robbers and raised the alarm. Seeing the crew's alertness, the robbers escaped without stealing anything.",NA,NA,NA,NA,NA,2017-03-01,2017,125,8433,Venezuelan Exclusive Economic Zone,200NM,2201,Venezuela,2201,Venezuela,VEN,0,NA,0,NA,NA,0,NA,0,NA,NA,-65.914234022,12.7888675475,472616.003707,8433
2017-49,57,Suspicious Approach,Vessel,NA,"NIGERIA:On 02 March, an alert crewman onboard a general cargo vessel underway near position04-28N 002-30E, 127 nm southwest of Lagos, noticed a suspicious boat doing 9 knots at a distance of 0.9 nm astern. The cargo vessel increased speed and made large","course alterations and the boat appeared to follow. As the cargo vessel was slightly faster, after nearly two hours, the distance increased and the boat moved away. The cargo vessel continued its passage.",NA,NA,NA,NA,2017-03-02,2017,165,8393,Beninese Exclusive Economic Zone,200NM,2139,Benin,2139,Benin,BEN,0,NA,0,NA,NA,0,NA,0,NA,NA,2.42123297004,4.84154943849,35528.368644,8393
2017-135,57,Mothership Activity,Vessel,NA,"NIGERIA:On 29 April in 03-15N 007-00E, a suspected pirate mother vessel was observed in the Gulf of Guinea. Vessel was reported as being a supply vessel type around 60-80 meters in length with a white hull.",NA,NA,NA,NA,NA,2017-04-29,2017,166,8474,Nigerian Exclusive Economic Zone,200NM,2253,Nigeria,2253,Nigeria,NGA,0,NA,0,NA,NA,0,NA,0,NA,NA,4.82278332072,4.08512461991,179050.962041,8474
2017-130,57,Pirates,Vessel,NA,"NIGERIA:On 29 April, armed pirates in a speedboat boarded a general cargo vessel underway near position 03-41N 006-46E, 47 nm southwest of Bonny Island. Alarm raised, SSAS activated and all crew retreated into the citadel. Ship owner notified the IMB","Piracy Reporting Centre, who in turn informed and liaised with the Nigerian Navy. A naval vessel was dispatched to assist the vessel. The pirates damaged ship's equipment, stole crew cash and belongings and escaped before the naval team boarded the",vessel to rescue the crew. All crew reported safe.,NA,NA,NA,2017-04-29,2017,166,8474,Nigerian Exclusive Economic Zone,200NM,2253,Nigeria,2253,Nigeria,NGA,0,NA,0,NA,NA,0,NA,0,NA,NA,4.82278332072,4.08512461991,179050.962041,8474
2017-129,57,Pirates,Vessel,NA,"NIGERIA:On 29 April at 0408Z, a vessel was attacked in 03-51.2N 006-46.1E.",NA,NA,NA,NA,NA,2017-04-29,2017,166,8474,Nigerian Exclusive Economic Zone,200NM,2253,Nigeria,2253,Nigeria,NGA,0,NA,0,NA,NA,0,NA,0,NA,NA,4.82278332072,4.08512461991,179050.962041,8474
2017-132,57,Pirates,Vessel,NA,"NIGERIA:On 29 April at 1820Z, a vessel was attacked in 03-33N 006-42E.",NA,NA,NA,NA,NA,2017-04-29,2017,166,8474,Nigerian Exclusive Economic Zone,200NM,2253,Nigeria,2253,Nigeria,NGA,0,NA,0,NA,NA,0,NA,0,NA,NA,4.82278332072,4.08512461991,179050.962041,8474
2017-134,24,Robbers,Offshore Support Vessel,NA,"GUYANA:On 28 April at 0620Z, robbers were discovered on a seismic support vessel, in06-49.4N 058-10.2W, Georgetown anchorage. Duty officer on rounds noticed a boat alongside the vessel and raised the alarm. Seeing the alerted crew, the robbers were seen",escaping with stolen ship's properties.,NA,NA,NA,NA,2017-04-28,2017,109,8460,Guyanese Exclusive Economic Zone,200NM,2124,Guyana,2124,Guyana,GUY,0,NA,0,NA,NA,0,NA,0,NA,NA,-57.6411085408,8.61271338198,135053.148853,8460
2017-131,57,Pirates,Vessel,NA,"NIGERIA:On 28 April at 1850Z, a vessel was attacked in 03-49N 007-04E.",NA,NA,NA,NA,NA,2017-04-28,2017,166,8474,Nigerian Exclusive Economic Zone,200NM,2253,Nigeria,2253,Nigeria,NGA,0,NA,0,NA,NA,0,NA,0,NA,NA,4.82278332072,4.08512461991,179050.962041,8474
2017-139,25,Robbers,Vessel,NA,"SAINT VINCENT AND THE GRENADINES:On 27 April, a yacht was tied to a mooring in Luperon Bay, in vicinity 13-09N 061-14W, while the owner went ashore. Vandals released the yacht, removing all lines from it and the mooring. The yacht was seen adrift, an",emergency VHF call was made and the yacht was recovered undamaged.,NA,NA,NA,NA,2017-04-27,2017,91,8421,Saint Vincent and the Grenadines Exclusive Economic Zone,200NM,8651,Saint Vincent and the Grenadines,8651,Saint Vincent and the Grenadines,VCT,0,NA,0,NA,NA,0,NA,0,NA,NA,-61.6944240413,13.1580517887,36243.1925939,8421
2017-143,62,Pirates,Vessel,NA,"SAUDI ARABIA:On 25 April, Saudi Arabia confirmed that Yemen based Houthi rebel forces tried to attack an Armco fuel distribution terminal in Jazan province, in vicinity 17-08N 042-20E, with a remotely controlled boat, filled with explosives. The state",news agency said that the boat was destroyed by Saudi naval forces before it hit its target.,NA,NA,NA,NA,2017-04-25,2017,143,8356,Saudi Arabian Exclusive Economic Zone,200NM,2215,Saudi Arabia,2215,Saudi Arabia,SAU,0,NA,0,NA,NA,0,NA,0,NA,NA,40.4817099566,22.453897246,224137.855448,8356
2017-122,61,Pirates,Tanker,NA,"SOMALIA:On 22 April, six armed persons in a skiff chased and fired upon the underway tanker COSTINA near position 05-42N 048-53E, 30 nm northeast of Hobyo. Master raised the alarm and sent distress message, to which a warship responded. The skiff chased",the tanker for nearly two hours and then moved away due to the continuous evasive maneuvers. One crewman reportedly injured.,NA,NA,NA,NA,2017-04-22,2017,218,8350,Somali Exclusive Economic Zone,200NM,2187,Federal Republic of Somalia,2187,Federal Republic of Somalia,SOM,0,NA,0,NA,NA,0,NA,0,NA,NA,48.7178065692,5.38119709067,781835.626833,8350
2017-155,92,Robbers,Container Vessel,NA,"PHILIPPINES:On 22 April, duty crewman onboard a container vessel anchored near position07-10N 122-39E, 10 nm southwest of the Olutanga Coast noticed a small boat near the anchor chain. The hawse pipe cover was opened and the crewman informed the duty","officer, who raised the alarm. Two robbers were seen escaping from the vessel. Upon inspection, no stores were reported stolen. Incident reported to Davao coast guard and pilot station via VHF Channel 16.",NA,NA,NA,NA,2017-04-22,2017,179,8322,Philippines Exclusive Economic Zone,200NM,2245,Philippines,2245,Philippines,PHL,0,NA,0,NA,NA,0,NA,0,NA,NA,122.546805869,12.3401155141,1971039.86154,8322
2017-128,61,Pirates,Vessel,NA,"SOMALIA:On 22 April at 1610Z, a vessel was attacked in 05-39N 048-57E.",NA,NA,NA,NA,NA,2017-04-22,2017,218,8350,Somali Exclusive Economic Zone,200NM,2187,Federal Republic of Somalia,2187,Federal Republic of Somalia,SOM,0,NA,0,NA,NA,0,NA,0,NA,NA,48.7178065692,5.38119709067,781835.626833,8350
2017-127,72,Pirates,Bulk Carrier,NA,"INDONESIA:On 20 April in 00-15.7S 117-34.5E, Samarinda anchorage, three robbers boarded an anchored bulk carrier. The alarm was raised and crew mustered. Seeing the crew alertness, the robbers escaped without stealing anything.",NA,NA,NA,NA,NA,2017-04-20,2017,220,8492,Indonesian Exclusive Economic Zone,200NM,2127,Indonesia,2127,Indonesia,IDN,0,NA,0,NA,NA,0,NA,0,NA,NA,117.898147552,-3.30903479808,6025109.71458,8492
2017-118,57,Pirates,Tanker,NA,"NIGERIA:On 19 April, nine pirates in a skiff approached and fired upon a tanker underway near position 03-25N 005-46E, 59 nm south-southwest of Brass. Alarm raised, fire pumps started and non-essential crew retreated to the citadel. Vessel increased",speed and conduct evasive maneuvers. While the Master communicated with the escort vessel the skiff was seen aborting and moving away. Crew and tanker reported safe.,NA,NA,NA,NA,2017-04-19,2017,166,8474,Nigerian Exclusive Economic Zone,200NM,2253,Nigeria,2253,Nigeria,NGA,0,NA,0,NA,NA,0,NA,0,NA,NA,4.82278332072,4.08512461991,179050.962041,8474
2017-117,57,Pirates,Tug,NA,"NIGERIA:On 19 April at 0934Z, an offshore tug was attacked and boarded by armed pirates in04-06.43N 006-15.34E. Pirates kidnapped eight crew members and escaped. Nigerian Navy has been notified and rescue operations are in progress. One crew member was",reported injured and evacuated.,NA,NA,NA,NA,2017-04-19,2017,166,8474,Nigerian Exclusive Economic Zone,200NM,2253,Nigeria,2253,Nigeria,NGA,0,NA,0,NA,NA,0,NA,0,NA,NA,4.82278332072,4.08512461991,179050.962041,8474
2017-116,57,Pirates,Tanker,NA,"NIGERIA:On 19 April at 0855Z, a tanker was attacked in 03-25N 005-36E. Nine pirates in a speed boat fired upon a tanker being escorted by a security boat. Master immediately notified the escort vessel and Nigerian Navy. Pirates aborted the attack and",moved away. The tanker and crew are safe.,NA,NA,NA,NA,2017-04-19,2017,166,8474,Nigerian Exclusive Economic Zone,200NM,2253,Nigeria,2253,Nigeria,NGA,0,NA,0,NA,NA,0,NA,0,NA,NA,4.82278332072,4.08512461991,179050.962041,8474
2017-125,72,Robbers,Bulk Carrier,NA,"INDONESIA:On 19 April, three robbers boarded an anchored bulk carrier near position00-15S 117-34E, Samarinda Anchorage. Alarm raised and crew mustered. Seeing the crew¿s alertness, the robbers escaped without stealing anything.",NA,NA,NA,NA,NA,2017-04-19,2017,220,8492,Indonesian Exclusive Economic Zone,200NM,2127,Indonesia,2127,Indonesia,IDN,0,NA,0,NA,NA,0,NA,0,NA,NA,117.898147552,-3.30903479808,6025109.71458,8492
2017-126,92,Pirates,Cargo Vessel,NA,"PHILIPPINES:On 18 April, armed men tried to commandeer a cargo vessel off the waters of Zamboanga del Norte, in vicinity 08-10N 122-31E, police said. A police spokesman said armed men on two motorized boats fired at M/V DOÑA ANABELLE while it was sailin",near Santa Maria village in Siocon town. The spokesman added that the four men tried to board the vessel but later departed after seeing an approaching Philippine Navy boat and that said no one was hurt.,NA,NA,NA,NA,2017-04-18,2017,179,8322,Philippines Exclusive Economic Zone,200NM,2245,Philippines,2245,Philippines,PHL,0,NA,0,NA,NA,0,NA,0,NA,NA,122.546805869,12.3401155141,1971039.86154,8322
2017-115,62,Suspicious Approach,Container Vessel,NA,"RED SEA:On 16 April at 1022Z, a vessel was approached in 12-49.1N 043-16.0E. Three blue skiffs with five persons in each approached the underway container vessel. Master raised the alarm, non-essential crew retreated into the citadel and the armed","security team showed their weapons. When skiffs were one mile from the vessel, the security team fired a rocket flare. The skiffs aborted after seeing the flare. At 1035Z, another skiff approached only to be turned away by another rocket flare from the","security team. At 1050Z, two more skiffs approached the vessel. Security team showed their weapons and the skiff aborted the approach. All crew reported safe. Ship continued her passage.",NA,NA,NA,2017-04-16,2017,134,48956,Disputed area Doumeira Islands: Djibouti / Eritrea,Disputed,2111,Eritrea,2111,Eritrea,ERI,2131,Djibouti,2131,Djibouti,DJI,0,NA,0,NA,NA,43.2222066003,12.7588941374,244.983278024,48956
