Reference,SubReg,Aggressor,Victim,Descript,Desc1,Desc2,Desc3,Desc4,Desc5,Desc6,Date,Year,PolygonID,MRGID,GeoName,Pol_type,MRGID_Ter1,Territory1,MRGID_Sov1,Sovereign1,ISO_Ter1,MRGID_Ter2,Territory2,MRGID_Sov2,Sovereign2,ISO_Ter2,MRGID_Ter3,Territory3,MRGID_Sov3,Sovereign3,ISO_Ter3,x_1,y_1,Area_km2,MRGID_EEZ
2014-128,13,Robbers,Tugboat,NA,"UNITED STATES:On 2 June, robbers stole a small tug boat from the Oyster House pier in East Providence, Rhode Island. The boat was later found aground and half-submerged in the Providence River near Sabin Point. East Providence Police and Fire were","alerted to reports of a vessel in distress with at least two people shining flashlights. When authorities boarded the vessel nobody was found, although a person later discovered nearby on shore has been identified as a person of interest.",NA,NA,NA,NA,2014-06-02,2014,NA,NA,High Seas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-190,21,Robbers,Sailing Vessel,NA,"COSTA RICA:On 19 August, a dinghy and small outboard motor were stolen from a sailing vessel anchored in Golfito Bay.",NA,NA,NA,NA,NA,2016-08-19,2016,NA,NA,High Seas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-129,22,Robbers,Product tanker,NA,"COLOMBIA:On 5 June, an unknown number of robbers boarded an anchored product tanker near position 03-51N 077-05W, Buenaventura Inner Anchorage. A duty crewman on routine rounds noticed the paint store room padlock had been broken. Upon checking, he found",that ship's stores were missing. Port control was informed of the incident.,NA,NA,NA,NA,2015-06-05,2015,NA,NA,High Seas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-178,22,PIRATES,CHEMICAL TANKER ARDMORE CAPELLA,NA,"PERU:On 24 May, the Marshall Islands-flagged chemical tanker ARDMORE CAPELLA was boarded in the vicinity of 04-34S 081-17W, at Talara. Three males boarded the vessel, attacked the watchman and attempted to tie him up. He fought back and the pirates",jumped ship onto a boat and escaped.,NA,NA,NA,NA,2013-05-24,2013,NA,NA,High Seas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-144,22,ROBBERS,CARGO SHIP FIESTA,NA,"COLOMBIA:On 21 May, the anchored general cargo ship FIESTA experienced an attempted boarding at 03-50N 007-07W, at the Buenaventura Anchorage. Three robbers in a boat approached the anchored general cargo ship and attempted to board, via the anchor","chain. Alert duty crew noticed the robbers and raised the alarm. Seeing crew alertness, the robbers aborted the boarding and moved away. Coast guard and port control informed.",NA,NA,NA,NA,2013-05-21,2013,NA,NA,High Seas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-105,22,ROBBERS,CARGO SHIP MAERSK NIENBURG,NA,"ECUADOR:On 15 April, the cargo ship MAERSK NIENBURG under pilotage was boarded at 02-18S 079-55W, at Guayaquil. A group of armed robbers in a boat approached and boarded a container ship departing from the berth. The alarm was raised and the crew",mustered in the accommodation area and locked all the doors. The Chief Security Officer contacted the IMB Piracy Reporting Centre and requested assistance. The Centre contacted the Ecuador Maritime Authorities and a coast guard patrol boat was sent to,the location. On arrival it was found that the robbers had left the vessel. All crew safe. The vessel continued her passage under pilotage with the patrol boat.,NA,NA,NA,2013-04-15,2013,NA,NA,High Seas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-19,22,ROBBERS,TANKER,NA,"PERU:On 23 January, a tanker was boarded in the vicinity of 04-34S 081-16W, at the MBM Terminal, Talara Port. Robbers boarded the berthed vessel and escaped with ship's stores unnoticed. Upon investigation, it was found the robbers boarded via the hawse",pipe by dismantling the anchor chain metal guard and then forced their way into the forecastle store by breaking the watertight door padlock hinge. Incident reported to the authorities.,NA,NA,NA,NA,2013-01-23,2013,NA,NA,High Seas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-183,22,PIRATES,CONTAINER SHIP,NA,ECUADOR:Four robbers armed with knives boarded a berthed container ship during formality inspection by the immigration and customs department. Duty bosun noticed the robbers boarding the vessel from seaward side using ropes and hooks. One of the robbers,was proceeding aft towards the accommodation. Bosun reported to master and chief officer via the walkie talkie and alarm raised. On seeing the alert crew the robber on deck ran towards the bosun waving his knife. All the four robbers jumped overboard and,escaped with their three accomplices waiting in the boat. Port authority informed and a coast guard boat was dispatched to search the area.,NA,NA,NA,2012-05-27,2012,NA,NA,High Seas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-170,22,PIRATES,CONTAINER SHIP,NA,ECUADOR:Seven robbers in a small fast craft approached and came alongside a container ship underway during a river passage. Alert crew noticed the robbers with a ladder attempting to board and raised the alarm. Seeing the alert crew the robbers aborted,the attempt and moved away. Pilot reported to harbour control.,NA,NA,NA,NA,2012-04-17,2012,NA,NA,High Seas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-28,24,Robbers,Chemical Tanker,NA,"COLOMBIA:On 24 January, robbers boarded an anchored chemical tanker near position10-19N 074-32W, Mamonal Inner Anchorage, Columbia. The robbers stole ship items, and escaped without being noticed. The crew noted the theft during routine rounds later in",the day.,NA,NA,NA,NA,2017-01-24,2017,NA,NA,High Seas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
