mmsi,from_port,to_port,departure_date,arrival_date,distance_km,hours,ais_pings
355541000,"JAKARTA,IDN","MANILA,PHL",2013-11-05,2013-11-09,2814.093666969452,97.9365277777778,27
351895000,"LUANDA,AGO","ABIDJAN,CIV",2013-06-12,2013-06-16,2459.5636947835756,100.30555555555556,102
249529000,"TEMA,GHA","ABIDJAN,CIV",2012-05-30,2012-06-01,453.63288147760244,31.471111111111107,28
355656000,"MANILA,PHL","JAKARTA,IDN",2013-06-12,2013-06-18,3576.4757071518243,147.88083333333321,112
636091900,"PORT HARCOURT,NGA","TEMA,GHA",2013-01-04,2013-01-07,878.9992773186308,60.827638888888856,298
357045000,"MANILA,PHL","JAKARTA,IDN",2013-10-19,2013-10-24,2850.0753917650327,123.46930555555555,28
351268000,"TEMA,GHA","ABIDJAN,CIV",2013-10-27,2013-10-28,479.5856706778737,20.798472222222223,19
353637000,"MANILA,PHL","JAKARTA,IDN",2012-04-18,2012-05-25,1918.1591079085008,263.19236111111115,156
636092388,"TEMA,GHA","ABIDJAN,CIV",2012-08-11,2012-08-12,528.6601459296076,15.894861111111112,17
477792900,"TEMA,GHA","ABIDJAN,CIV",2013-12-07,2013-12-11,676.7972859904132,101.80263888888894,152
636091013,"ABIDJAN,CIV","TEMA,GHA",2015-07-31,2015-08-17,1039.1217261951606,395.5913888888885,1633
566056000,"TEMA,GHA","ABIDJAN,CIV",2013-11-30,2013-12-02,490.480412958993,46.26958333333333,77
636014960,"TEMA,GHA","ABIDJAN,CIV",2012-05-29,2012-05-30,376.87587574074183,18.317500000000003,16
636014698,"ABIDJAN,CIV","TEMA,GHA",2012-09-04,2012-09-04,438.7704943746834,13.949305555555554,9
304010897,"TEMA,GHA","ABIDJAN,CIV",2014-06-16,2014-06-18,642.6799773124891,40.09041666666666,30
636091884,"TEMA,GHA","ABIDJAN,CIV",2015-09-24,2015-09-25,507.62326409935173,28.004166666666666,88
354456000,"ABIDJAN,CIV","TEMA,GHA",2014-07-20,2014-07-21,527.2468710173733,31.87986111111111,97
370095000,"TEMA,GHA","ABIDJAN,CIV",2013-11-17,2013-11-17,452.6281899127974,13.948194444444443,37
477056900,"JAKARTA,IDN","MANILA,PHL",2012-06-15,2012-06-21,2345.6417921600946,109.97305555555555,25
352231000,"ABIDJAN,CIV","TEMA,GHA",2014-11-30,2014-12-01,471.6381873414708,27.979722222222218,73
566028000,"TEMA,GHA","ABIDJAN,CIV",2012-06-22,2012-06-22,461.0668665786913,12.88152777777778,10
636090879,"TEMA,GHA","ABIDJAN,CIV",2015-11-22,2015-11-23,540.8988496288206,19.088888888888892,54
636091107,"LUANDA,AGO","ABIDJAN,CIV",2013-12-09,2013-12-16,2475.482173307456,156.24444444444444,179
636090190,"TEMA,GHA","ABIDJAN,CIV",2012-09-12,2012-09-13,417.27962519285927,13.08847222222222,11
210409000,"JAKARTA,IDN","MANILA,PHL",2014-07-03,2014-07-12,413.5125584869766,46.194583333333355,93
241225000,"ABIDJAN,CIV","TEMA,GHA",2014-04-06,2014-04-07,529.902421028733,20.81458333333333,25
636014169,"LUANDA,AGO","ABIDJAN,CIV",2014-05-12,2014-05-21,2640.9242940535914,217.58527777777775,192
538004176,"JAKARTA,IDN","MANILA,PHL",2014-04-13,2014-04-17,2753.499427008524,93.70416666666665,27
636090975,"TEMA,GHA","ABIDJAN,CIV",2014-01-07,2014-01-08,470.64000737811375,21.55847222222223,40
518332000,"ABIDJAN,CIV","TEMA,GHA",2013-05-15,2013-05-19,656.534514643725,98.73819444444447,166
351698000,"TEMA,GHA","ABIDJAN,CIV",2013-01-20,2013-01-21,498.16637054580565,22.968194444444446,45
247611000,"TEMA,GHA","ABIDJAN,CIV",2012-01-15,2012-01-29,1838.00664598739,326.64263888888877,619
253161000,"TEMA,GHA","ABIDJAN,CIV",2017-03-19,2017-03-20,545.2058530650728,27.40291666666667,134
477225500,"LUANDA,AGO","TEMA,GHA",2016-05-15,2016-05-19,2173.95758387912,92.36652777777779,358
538003798,"ABIDJAN,CIV","TEMA,GHA",2016-01-22,2016-01-23,519.4805751789152,21.70277777777778,97
356167000,"TEMA,GHA","ABIDJAN,CIV",2013-05-01,2013-05-02,465.87649265474715,16.37194444444444,23
538004546,"JAKARTA,IDN","MANILA,PHL",2014-12-10,2014-12-19,1327.4890324783523,124.21000000000002,200
538005127,"LUANDA,AGO","TEMA,GHA",2015-02-26,2015-03-01,2191.489638473994,73.00513888888887,219
354918000,"MANILA,PHL","JAKARTA,IDN",2013-12-29,2014-01-05,2169.3940414591248,101.66097222222223,192
548631000,"TEMA,GHA","ABIDJAN,CIV",2012-06-01,2012-06-02,506.60204286292094,21.384583333333335,18
477299000,"LUANDA,AGO","TEMA,GHA",2017-08-26,2017-08-29,1563.9420301771358,60.902361111111084,570
372370000,"ABIDJAN,CIV","TEMA,GHA",2013-11-08,2013-11-11,878.591060474702,85.07000000000004,276
247207000,"ABIDJAN,CIV","TEMA,GHA",2012-05-19,2012-05-27,1213.6704532313372,192.29402777777779,83
563424000,"TEMA,GHA","ABIDJAN,CIV",2017-10-28,2017-11-15,596.5724155012151,432.10680555555535,2199
357919000,"TEMA,GHA","ABIDJAN,CIV",2012-05-06,2012-05-07,482.6903811571379,15.45763888888889,28
636090138,"ABIDJAN,CIV","TEMA,GHA",2012-10-02,2012-10-02,182.01400508100406,8.37611111111111,10
477901000,"ABIDJAN,CIV","TEMA,GHA",2014-04-30,2014-05-01,516.4513324637497,18.959583333333324,61
370095000,"TEMA,GHA","ABIDJAN,CIV",2012-12-31,2013-01-01,478.2786944842361,14.903333333333338,48
306497000,"ABIDJAN,CIV","TEMA,GHA",2015-04-17,2015-04-18,524.7310177934893,21.64208333333334,74
319057600,"MANILA,PHL","JAKARTA,IDN",2014-04-08,2014-04-22,2292.3687755834358,119.62083333333337,72
357079000,"JAKARTA,IDN","MANILA,PHL",2012-07-23,2012-08-12,8946.199758988256,293.28249999999997,354
353751000,"LUANDA,AGO","TEMA,GHA",2014-06-30,2014-07-05,142.39873278257767,11.99763888888889,5
636091401,"TEMA,GHA","ABIDJAN,CIV",2014-05-30,2014-06-01,572.6822342359026,35.095416666666665,32
354106000,"JAKARTA,IDN","MANILA,PHL",2014-01-31,2014-02-07,2071.8505414968313,120.4573611111111,171
247304600,"TEMA,GHA","ABIDJAN,CIV",2013-10-10,2013-10-11,536.2130632802604,25.06666666666667,20
477818000,"LUANDA,AGO","TEMA,GHA",2015-06-17,2015-06-21,2198.008246190236,88.99041666666665,89
371443000,"TEMA,GHA","ABIDJAN,CIV",2012-08-15,2012-08-16,498.43221252461234,24.868611111111107,27
210267000,"PORT HARCOURT,NGA","ABIDJAN,CIV",2014-12-31,2015-01-03,1526.9829353870757,66.40305555555554,178
371811000,"ABIDJAN,CIV","TEMA,GHA",2012-10-03,2012-10-04,502.3556904672171,19.352916666666665,27
215819000,"ABIDJAN,CIV","TEMA,GHA",2014-04-15,2014-04-16,699.9307000432121,31.721527777777784,29
566058000,"TEMA,GHA","ABIDJAN,CIV",2013-06-19,2013-06-19,445.6809055005957,16.373194444444444,6
247217100,"TEMA,GHA","ABIDJAN,CIV",2015-06-07,2015-06-14,880.8613487684985,166.6052777777778,603
636092379,"JAKARTA,IDN","MANILA,PHL",2016-06-09,2016-06-13,1818.1556763339365,58.4225,17
215210000,"TEMA,GHA","ABIDJAN,CIV",2014-03-13,2014-03-16,540.2949981068759,54.025416666666665,35
248572000,"TEMA,GHA","ABIDJAN,CIV",2014-04-01,2014-04-02,497.72759811743293,20.486944444444443,21
357993000,"TEMA,GHA","ABIDJAN,CIV",2014-02-02,2014-02-03,495.7938895399847,17.638055555555557,58
319310000,"TEMA,GHA","ABIDJAN,CIV",2014-02-28,2014-03-01,497.236023211011,34.784027777777766,48
212334000,"JAKARTA,IDN","MANILA,PHL",2015-01-30,2015-02-07,1487.4127887029495,62.00138888888891,44
247131000,"TEMA,GHA","ABIDJAN,CIV",2012-04-15,2012-04-16,437.55236106909035,26.335,19
351305000,"LUANDA,AGO","TEMA,GHA",2012-09-03,2012-09-11,2493.102326872963,205.47250000000003,97
351828000,"TEMA,GHA","ABIDJAN,CIV",2014-01-30,2014-01-31,510.570669563313,19.650694444444444,57
636091401,"ABIDJAN,CIV","LUANDA,AGO",2014-04-08,2014-04-12,2435.0718129951397,91.95305555555561,64
305046000,"TEMA,GHA","LUANDA,AGO",2015-03-11,2015-03-16,2170.158878675313,110.58013888888878,724
636090753,"LUANDA,AGO","ABIDJAN,CIV",2012-02-09,2012-02-12,2246.0316077776392,69.36083333333333,84
353642000,"ABIDJAN,CIV","TEMA,GHA",2013-08-19,2013-08-20,473.9662674046701,15.54208333333333,64
351738000,"TEMA,GHA","ABIDJAN,CIV",2012-07-14,2012-07-15,451.018520314789,16.545416666666664,33
636091401,"ABIDJAN,CIV","TEMA,GHA",2014-04-04,2014-04-05,371.5438565457952,13.721527777777776,19
636015923,"TEMA,GHA","ABIDJAN,CIV",2016-07-19,2016-07-20,536.1569513641041,18.621805555555547,122
247067200,"ABIDJAN,CIV","LUANDA,AGO",2012-12-28,2013-01-01,2471.954422659429,111.53430555555562,192
636091166,"TEMA,GHA","ABIDJAN,CIV",2014-08-22,2014-09-01,307.8908417131935,208.68833333333345,798
355321000,"MANILA,PHL","JAKARTA,IDN",2012-12-30,2013-01-05,2324.4585586665494,92.86236111111108,129
538090194,"ABIDJAN,CIV","TEMA,GHA",2015-02-23,2015-02-26,886.8069835717574,82.02930555555552,308
636091020,"TEMA,GHA","ABIDJAN,CIV",2013-01-25,2013-01-28,655.8692566487533,75.06541666666669,106
538004176,"MANILA,PHL","JAKARTA,IDN",2013-07-01,2013-07-08,2175.5747517509544,116.5526388888889,228
371318000,"TEMA,GHA","ABIDJAN,CIV",2015-07-17,2015-07-17,476.13432330479975,14.920555555555557,71
566491000,"ABIDJAN,CIV","TEMA,GHA",2013-09-16,2013-09-18,566.158322938943,48.9336111111111,173
636091335,"TEMA,GHA","ABIDJAN,CIV",2013-09-26,2013-09-27,543.5836372108287,28.732777777777777,25
305660000,"ABIDJAN,CIV","TEMA,GHA",2012-03-27,2012-03-28,410.19871022576615,15.742222222222225,29
636090138,"LUANDA,AGO","ABIDJAN,CIV",2012-12-11,2012-12-15,2495.4244813171113,95.85861111111112,158
636015923,"TEMA,GHA","ABIDJAN,CIV",2016-06-05,2016-06-07,544.5908063692749,29.890694444444456,166
566028000,"TEMA,GHA","ABIDJAN,CIV",2014-01-10,2014-01-10,501.37739879942944,13.874722222222221,24
236588000,"ABIDJAN,CIV","TEMA,GHA",2012-01-03,2012-01-04,438.6638267488732,20.986388888888886,55
355541000,"MANILA,PHL","JAKARTA,IDN",2012-04-09,2012-04-15,1999.7196535820322,88.21388888888887,50
373996000,"LUANDA,AGO","TEMA,GHA",2012-01-30,2012-02-04,2451.759763212825,115.48541666666677,442
538005230,"TEMA,GHA","ABIDJAN,CIV",2013-11-26,2013-11-26,12.388657866994965,0.9577777777777778,5
636015321,"TEMA,GHA","ABIDJAN,CIV",2012-01-07,2012-01-08,287.1297400519015,8.967222222222224,100
357919000,"TEMA,GHA","ABIDJAN,CIV",2017-05-14,2017-05-17,820.0380932686534,59.30333333333329,735
538004091,"LUANDA,AGO","TEMA,GHA",2014-06-10,2014-06-14,2899.35696493177,111.47097222222216,196
477914200,"TEMA,GHA","ABIDJAN,CIV",2017-10-08,2017-10-09,528.9832503778581,22.711111111111137,674
