port
"AIN SUKHNA,EGY"
"AIN,TUR"
"AINS P S,GRC"
"AIO,USA"
"AIOI,JPN"
"AIRLIE BEACH,AUS"
"AIX,FRA"
"AIYION,GRC"
"AJEGUNLE,NGA"
"AJMAN,ARE"
"AK OFF,JPN"
"AK OFF,NOR"
"AK,FIN"
"AK,GRC"
"AK,NOR"
"AKA,NOR"
"AKAL BN,MEX"
"AKAL C,MEX"
"AKAL C8,MEX"
"AKAL CI,MEX"
"AKAL D,MEX"
"AKAL FIELD,MEX"
"AKAL FOCO,MEX"
"AKAL J,MEX"
"AKAL MB,MEX"
"AKAL O,MEX"
"AKAL TD,MEX"
"AKALES,MEX"
"AKAN,NOR"
"AKANESTRAUM,CAN"
"AKCANSA,TUR"
"AKI,CAN"
"AKITA,JPN"
"AKO,JPN"
"AKPO NIGERIA,NGA"
"AKRA KAVONISI,GRC"
"AKRAHAMN,NOR"
"AKRANES,ISL"
"AKSEM,AUS"
"AKTAIO,GRC"
"AKUREYRI,ISL"
"AKUTAN HARBOR,USA"
"AKUTAN,USA"
"AL AHMADI,YEM"
"AL AQABAH,JOR"
"AL BATEEN HUDAYRYAT,ARE"
"AL BURAYQAH,LBY"
"AL FAW IRAQ,IRQ"
"AL FAW,IRQ"
"AL FIELD,NLD"
"AL FUJAYRAH,ARE"
"AL HAMRIYAH LPG TERMINAL,ARE"
"AL ISKANDARIYH (ALEXANDRIA),EGY"
"AL JAZEERA PORT,ARE"
"AL JUBAIL,SAU"
"AL JUBAYL,SAU"
"AL KHAFJI,SAU"
"AL KHAIR OIL TERMINAL,SDN"
"AL KHOMS,LBY"
"AL KHUMS,LBY"
"AL KUWAYT,KWT"
"AL LADHIQIYAH,SYR"
"AL MA'ALLA',YEM"
"AL MAHBULAH,KWT"
"AL MANAMAH,BHR"
"AL MUKALLA,YEM"
"AL MUKHA,YEM"
"AL PLATA,FRA"
"AL PLATA,MYS"
"AL QUSAYR,EGY"
"AL SHAHEEN FIELD,QAT"
"AL SHAHEEN OILFIELD,QAT"
"AL SHAHEEN TERMINAL,QAT"
"AL SHAHEEN,QAT"
"AL,FRA"
"AL,NOR"
"AL-BASRA OIL TERMINAL,IRQ"
"ALAK,IDN"
"ALAMEDA,USA"
"ALAND,THA"
"ALANG INDIA,IND"
"ALANG,IND"
"ALANYA,TUR"
"ALAPI VILLAGE,TUV"
"ALARISH,EGY"
"ALBACORA,BRA"
"ALBANIA,VGB"
"ALBANY,AUS"
"ALBUFEIRA,PRT"
"ALCUDIA,ESP"
"ALDABIYA,ARE"
"ALDEBURGH,GBR"
"ALDERNEY HARBOUR,GBR"
"ALDS,TUR"
"ALEPAS,USA"
"ALESUND,NOR"
"ALEXANDRIA,EGY"
"ALEXANDRIA,TUR"
"ALEXANDROUPOLI,GRC"
"ALGARROBO,ESP"
"ALGECIRAS,ESP"
"ALGER,DZA"
"ALGES,PRT"
"ALGHERO,ITA"
"ALGIERS LOCKS,USA"
"ALGIERS,DZA"
"ALI,CAN"
"ALIAGA,TUR"
"ALIAN,ARE"
"ALICANTE TABARCA,ESP"
"ALICANTE,ESP"
"ALICE TOWN,BHS"
"ALIMOS,GRC"
"ALINA,USA"
"ALJASEERA,ARE"
"ALKHUMS,LBY"
"ALLAPATTAH,USA"
"ALLISON HARBOUR,CAN"
"ALMAS,JPN"
"ALMAS,USA"
"ALMERE STAD,NLD"
"ALMERE URK,NLD"
"ALMERIA,ESP"
"ALMERIMAR,ESP"
"ALMIRANTE,PAN"
"ALO NYNASHAMN,SWE"
"ALOFI,NIU"
"ALOTOA,PNG"
"ALPHA ZONE,URY"
"ALSVAG,NOR"
"ALTA MESA WEEKS ISL,USA"
"ALTA,NOR"
"ALTAMIRA,MEX"
"ALTEA,ESP"
"ALTENHOLZ,DEU"
"ALTENKIRCHEN,DEU"
"ALTINOVA,TUR"
"ALUMAR,BRA"
"ALVON,GBR"
"AM VLISSINGEN,ESP"
"AM,NLD"
"AM,USA"
"AMA,CAN"
"AMA,DEU"
"AMA,FIN"
"AMA,SWE"
"AMA,TUR"
"AMA,USA"
"AMAGASAKI,JPN"
"AMALFI,ITA"
"AMAMAPARE AREA,IDN"
"AMAMAPARE PAPUA,IDN"
"AMAMAPARE,IDN"
"AMAMI,JPN"
"AMBARLI,TUR"
"AMBES,FRA"
"AMBIQUE,USA"
"AMBON,IDN"
"AMELAND,NLD"
"AMELIA,USA"
"AMEN,KOR"
"AMN KLAIPEDA,SWE"
"AMORA,PRT"
"AMORGOS,GRC"
"AMOYFJORDEN,NOR"
"AMPA FIELD,BRN"
"AMPENAN,IDN"
"AMSTERDAM,NLD"
"AMSTERDAM,SWE"
"AMSTERDAMVLOTHAVE,NLD"
"AMUAY (BAHIA DE AMUAY),VEN"
"AMUAY BAY,VEN"
"AMUAY,VEN"
"AMURANG INDONESIA,IDN"
"AMURANG,IDN"
"AN A D LEK,FIN"
"AN A D LEK,SWE"
"AN CHINA,SWE"
"AN CN,USA"
"AN DD,IDN"
"AN DUONG,VNM"
"AN HACCHOURT,JPN"
"AN JIN MEN,CAN"
"AN SHEN JIA MEN,KOR"
"AN SHIPYARD,GRC"
"ANA,NLD"
"ANA,NOR"
"ANA,SWE"
"ANA,TUR"
