mmsi,from_anchorage,from_anchorage_id,to_anchorage,to_anchorage_id,departure_date,arrival_date,distance_km,hours,ais_pings,from_country,to_country,from_anchorage_lat,from_anchorage_lon,to_anchorage_lat,to_anchorage_lon,straight_distance_km,days_since_attack_from_country,days_since_attack_to_country
1193046,"PRONY BAY,NCL",6c283c3d,"YOHO,NGA",1068bdff,2014-10-15,2014-10-15,3.833691884830961,8.9925,21,NCL,NGA,-22.352995604159215,166.8904812032233,4.0325933178217745,7.525962397963176,17019.49256649249,NA,50
357247000,"LAGOS,NGA",103c0b5f,"LAGOS,NGA",103c0b5f,2015-02-03,2015-02-03,21.605576698013873,4.461111111111111,21,NGA,NGA,6.314020480432344,3.4375917652840444,6.314020480432344,3.4375917652840444,0,0,0
657123900,"AKPO NIGERIA,NGA",106ef3ff,"AKPO NIGERIA,NGA",106ef3ff,2017-06-04,2017-06-05,12.905202194556514,3.7641666666666667,21,NGA,NGA,3.159120994280534,6.831469961223932,3.159120994280534,6.831469961223932,0,18,18
273000000,"LAGOS,NGA",103c74ef,"LAGOS,NGA",103c74ef,2012-02-20,2012-02-20,403.53400987419116,21.053333333333335,21,NGA,NGA,6.340457637435058,3.3917576313865903,6.340457637435058,3.3917576313865903,0,7,7
209229000,"AGBAMI,NGA",106c9201,"AGBAMI,NGA",106c9201,2012-01-09,2012-01-10,5.305795403651066,7.297222222222222,21,NGA,NGA,3.4820979842924387,5.559187004832648,3.4820979842924387,5.559187004832648,0,0,0
636091486,"LAGOS,NGA",103c0b45,"COTONOU,BEN",103cadad,2012-10-24,2012-10-24,79.92236693438177,3.2733333333333334,21,NGA,BEN,6.325019518848391,3.43233120438237,6.271507371922944,2.5074688380518513,102.50701476901494,0,99
354942000,"TWON-BRASS,NGA",106bd20b,"TWON-BRASS,NGA",106bd20b,2013-07-27,2013-07-27,196.9429006144154,7.053194444444444,21,NGA,NGA,4.3062180146587234,6.239410754207799,4.3062180146587234,6.239410754207799,0,8,8
244772000,"LAGOS,NGA",103b8ae3,"LAGOS,NGA",103b8ae3,2017-10-14,2017-10-14,18.944642895209615,1.4448611111111112,21,NGA,NGA,6.434616162382297,3.3925756314517583,6.434616162382297,3.3925756314517583,0,12,12
123456789,"CALLAO,PER",9105cc7d,"BRASS OIL TERMINAL,NGA",106bddc1,2016-10-31,2016-10-31,72.82007282568301,14.86638888888889,21,PER,NGA,-12.039757479816084,-77.14400611392018,4.06836575237566,6.304238144599456,9402.235410687752,10,6
247348800,"LAGOS,NGA",103c7a37,"LAGOS,NGA",103c7a3f,2017-10-17,2017-10-17,47.254627061962076,2.905416666666666,21,NGA,NGA,6.2944136617156214,3.225796319292787,6.294048246764696,3.235863436192948,1.1146534385341458,15,15
999999999,"ONNE,NGA",106835f7,"LOME,TGO",1023e14f,2014-09-19,2014-09-19,19.186413836710148,17.73541666666667,21,NGA,TGO,4.695206017787844,7.16579639356807,6.138673337700936,1.2822870052264446,671.5126970520865,24,56
209229000,"AGBAMI,NGA",106c9201,"AGBAMI,NGA",106c9201,2016-10-16,2016-10-16,8.41800474491714,6.875972222222222,21,NGA,NGA,3.4820979842924387,5.559187004832648,3.4820979842924387,5.559187004832648,0,9,9
538003988,"LAGOS,NGA",103c0b63,"TEMA,GHA",10207be3,2012-02-10,2012-02-12,338.69637528543524,26.359722222222224,21,NGA,GHA,6.313666069892251,3.4477912257938788,5.631711279189506,0.07738062167514369,380.7966783701897,32,1
636016097,"LAGOS,NGA",103c0b79,"LAGOS,NGA",103c734d,2014-11-09,2014-11-10,116.00738350560337,20.194305555555555,21,NGA,NGA,6.319529830918267,3.457340221932483,6.298301042179155,3.4171538712877165,5.035411194471452,1,1
244886000,"LAGOS,NGA",103b8ae3,"LAGOS,NGA",103b8ae3,2017-12-23,2017-12-23,23.65495492174806,1.7866666666666668,21,NGA,NGA,6.434616162382297,3.3925756314517583,6.434616162382297,3.3925756314517583,0,2,2
999999999,"LAGOS,NGA",103c0ad9,"PORT LOUIS,MUS",217c51b9,2015-02-06,2015-02-06,263.13173138999093,21.934722222222224,21,NGA,MUS,6.3557096178010974,3.4325535318467137,-20.147907922197646,57.48791656162787,6608.496088273981,3,NA
371897000,"OKORO TERMINAL,NGA",1068f25f,"OKORO TERMINAL,NGA",1068f25f,2016-06-02,2016-06-02,17.932444035812917,1.6920833333333332,21,NGA,NGA,4.221682818755409,7.393499068759895,4.221682818755409,7.393499068759895,0,26,26
657123900,"AKPO NIGERIA,NGA",106ef3ff,"AKPO NIGERIA,NGA",106ef3ff,2017-11-18,2017-11-19,1.5817605495687903,0.5969444444444444,21,NGA,NGA,3.159120994280534,6.831469961223932,3.159120994280534,6.831469961223932,0,2,2
247341500,"COTONOU,BEN",103cad97,"LAGOS,NGA",103c7341,2016-03-01,2016-03-01,94.58194419011457,2.9956944444444447,21,BEN,NGA,6.250728849598418,2.5121020006997496,6.293193147337282,3.402361895183415,98.62343717059872,1323,4
477083700,"COTONOU,BEN",103cadbd,"LAGOS,NGA",103c734d,2016-03-13,2016-03-13,102.96516307336672,4.221527777777777,21,BEN,NGA,6.2555860949091855,2.512157811477235,6.298301042179155,3.4171538712877165,100.25255967359723,1335,2
232558000,"LAGOS,NGA",103c0b5f,"COTONOU,BEN",103cad97,2014-09-22,2014-09-22,92.31289101592569,4.360972222222221,21,NGA,BEN,6.314020480432344,3.4375917652840444,6.250728849598418,2.5121020006997496,102.64841414607913,27,797
376626000,"OFON FIELD,NGA",106638df,"OFON FIELD,NGA",106638df,2013-06-06,2013-06-06,196.05322883005863,16.825,21,NGA,NGA,4.127001529222807,8.0945651425215015,4.127001529222807,8.0945651425215015,0,2,2
244772000,"LAGOS,NGA",103b8ae3,"LAGOS,NGA",103b8ae3,2017-12-03,2017-12-03,24.111616178968223,1.9924999999999997,21,NGA,NGA,6.434616162382297,3.3925756314517583,6.434616162382297,3.3925756314517583,0,2,2
123456789,"OFON FIELD,NGA",106638df,"OFON FIELD,NGA",106638df,2016-10-12,2016-10-12,194.59262317325158,39.99736111111112,21,NGA,NGA,4.127001529222807,8.0945651425215015,4.127001529222807,8.0945651425215015,0,5,5
123456789,"35b92eb3,CHN",35b92eb3,"OFON FIELD,NGA",106638df,2017-12-18,2017-12-18,193.26884235215283,28.131666666666664,21,CHN,NGA,34.74659897803442,119.5128021062746,4.127001529222807,8.0945651425215015,11684.855020169833,307,1
244772000,"LAGOS,NGA",103b8ae3,"LAGOS,NGA",103b8ae3,2017-05-10,2017-05-10,63.865336750328034,5.55638888888889,21,NGA,NGA,6.434616162382297,3.3925756314517583,6.434616162382297,3.3925756314517583,0,11,11
356027000,"TIN CAN ISLAND,NGA",103c7501,"TIN CAN ISLAND,NGA",103c7501,2012-10-20,2012-10-20,23.67393390301391,1.1366666666666667,21,NGA,NGA,6.356948062718615,3.3818921024011797,6.356948062718615,3.3818921024011797,0,5,5
657539000,"AGBAMI,NGA",106c8dfd,"AGBAMI,NGA",106c8dfd,2014-11-20,2014-11-20,43.82552721197069,11.182222222222224,21,NGA,NGA,3.48178546764894,5.569635764941248,3.48178546764894,5.569635764941248,0,8,8
477852800,"LAGOS,NGA",103c73a7,"LAGOS,NGA",103c7341,2013-06-08,2013-06-08,14.049239853189208,6.902777777777778,21,NGA,NGA,6.2827199584164894,3.3770589337932857,6.293193147337282,3.402361895183415,3.0328123316798274,4,4
477852800,"ONNE,NGA",10684a6b,"DOUALA,CMR",10615b69,2013-06-18,2013-06-19,441.73945210289577,18.112638888888885,21,NGA,CMR,4.673675558008926,7.154562508618303,3.831378140753828,9.442341222864167,270.7265766265255,5,NA
253198000,"LAGOS,NGA",103c0b55,"LAGOS,NGA",103c7a3f,2013-11-30,2013-11-30,16.437409945214483,0.8477777777777777,21,NGA,NGA,6.31445674289651,3.421267211145268,6.294048246764696,3.235863436192948,20.63966140208779,58,58
123456789,"GIRASSOL TERMINAL,AGO",1a576041,"OFON FIELD,NGA",106638df,2016-08-28,2016-08-28,64.18723723821147,8.511111111111111,21,AGO,NGA,-7.648473944831861,11.681745558406606,4.127001529222807,8.0945651425215015,1370.0536121586497,76,11
244886000,"LAGOS,NGA",103b8ae3,"LAGOS,NGA",103b8ae3,2017-12-20,2017-12-20,17.200780360846707,1.4663888888888885,21,NGA,NGA,6.434616162382297,3.3925756314517583,6.434616162382297,3.3925756314517583,0,3,3
244772000,"AJEGUNLE,NGA",103b890b,"AJEGUNLE,NGA",103b890b,2015-11-14,2015-11-14,36.01431151996678,3.8536111111111113,21,NGA,NGA,6.443287682020296,3.3160311642270366,6.443287682020296,3.3160311642270366,0,26,26
304306000,"TEMA,GHA",10207761,"LAGOS,NGA",103c734d,2012-12-11,2012-12-12,298.9240533171672,19.341527777777777,21,GHA,NGA,5.559055160536316,0.05377083958865543,6.298301042179155,3.4171538712877165,381.3881940109197,68,48
244886000,"LAGOS,NGA",103b8ac7,"LAGOS,NGA",103b8ae3,2015-10-01,2015-10-02,78.19230417186769,5.826805555555555,21,NGA,NGA,6.422234198260632,3.4060092996120863,6.434616162382297,3.3925756314517583,2.026853369307146,9,9
244772000,"APAPA,NGA",103b8ba5,"APAPA,NGA",103b8ba5,2015-08-10,2015-08-10,24.820374122757208,2.15,21,NGA,NGA,6.450992184840671,3.3730391786085936,6.450992184840671,3.3730391786085936,0,88,88
111111111,"35868811,CHN",35868811,"LAGOS,NGA",103b8b9f,2016-04-11,2016-04-11,11.218564666752712,18.19708333333333,21,CHN,NGA,39.158557383906874,122.37011875998837,6.465235115518101,3.3764448902334925,11977.86664858095,36,0
351355000,"CAPE TOWN,NGA",10662e2b,"CAPE TOWN,NGA",10662e2b,2013-12-22,2013-12-23,19.647969640281197,9.67513888888889,21,NGA,NGA,4.236152345212028,7.9558648529321125,4.236152345212028,7.9558648529321125,0,6,6
1193046,"ONNE,NGA",10684a3f,"NATIONAL CITY,USA",80d95305,2015-05-25,2015-05-25,232.86461028422266,48.7761111111111,21,NGA,USA,4.668286610139808,7.1587472857037975,32.68644649345939,-117.13372647678868,12844.387188743287,11,NA
244772000,"LAGOS,NGA",103b8ae5,"LAGOS,NGA",103c756b,2016-07-22,2016-07-22,32.27133794356454,2.7562499999999996,21,NGA,NGA,6.431966254959993,3.3906766775311734,6.378074759399709,3.39681546857859,6.0374883668641,14,14
356027000,"LAGOS,NGA",103c74fb,"LAGOS,NGA",103c74fb,2012-08-22,2012-08-22,24.02233229182366,0.9141666666666667,21,NGA,NGA,6.346269006605005,3.3862479322543897,6.346269006605005,3.3862479322543897,0,19,19
657539000,"AGBAMI,NGA",106c8dfd,"AGBAMI,NGA",106c9201,2018-01-08,2018-01-08,2.504446551207924,0.9252777777777778,21,NGA,NGA,3.48178546764894,5.569635764941248,3.4820979842924387,5.559187004832648,1.1615245748696368,15,15
244772000,"APAPA,NGA",103b8baf,"LAGOS,NGA",103b8ae1,2017-12-14,2017-12-14,25.38671220784963,2.262916666666667,21,NGA,NGA,6.4494054996681305,3.3738077107361604,6.436910483515081,3.395073936560416,2.732848570352408,0,0
657539000,"AGBAMI,NGA",106c9201,"AGBAMI,NGA",106c8e01,2016-12-23,2016-12-23,28.4768770543628,12.555972222222222,21,NGA,NGA,3.4820979842924387,5.559187004832648,3.486264369736924,5.565071186132125,0.8016122645080833,10,10
538001907,"LAGOS,NGA",103c734d,"LAGOS,NGA",103c73db,2013-03-21,2013-03-22,443.26210103275594,20.022638888888896,21,NGA,NGA,6.298301042179155,3.4171538712877165,6.2827555917743965,3.3458318510704483,8.079234879453923,17,17
244772000,"APAPA,NGA",103b8ba5,"APAPA,NGA",103b8ba5,2017-08-14,2017-08-15,16.36657663448103,1.3697222222222223,21,NGA,NGA,6.450992184840671,3.3730391786085936,6.450992184840671,3.3730391786085936,0,14,14
999999999,"LOME,TGO",1023e14f,"LAGOS,NGA",103c7569,2015-05-13,2015-05-13,445.62847591298697,27.655000000000005,21,TGO,NGA,6.138673337700936,1.2822870052264446,6.382735385836154,3.39610230494656,235.47770634542667,188,19
999999999,"ONNE,NGA",106835f7,"LOME,TGO",1023e14f,2015-10-27,2015-10-27,16.589970725731497,5.154027777777777,21,NGA,TGO,4.695206017787844,7.16579639356807,6.138673337700936,1.2822870052264446,671.5126970520865,8,105
657851000,"OFON FIELD,NGA",106638df,"OFON FIELD,NGA",106638df,2013-03-01,2013-03-02,22.51520957749361,26.94902777777778,21,NGA,NGA,4.127001529222807,8.0945651425215015,4.127001529222807,8.0945651425215015,0,4,4
1193046,"AJEGUNLE,NGA",103b8a27,"AJEGUNLE,NGA",103b8a27,2016-10-05,2016-10-05,121.62472676542795,24.776388888888892,21,NGA,NGA,6.426671037097815,3.3406916124225337,6.426671037097815,3.3406916124225337,0,19,19
636091178,"COTONOU,BEN",103cac99,"BONNY,NGA",10685459,2012-05-23,2012-05-26,785.8790218222609,28.933194444444446,21,BEN,NGA,6.308897645625695,2.482670672716018,4.415963161631286,7.138325656444293,557.341747566941,19,6
244886000,"APAPA,NGA",103b8ba5,"APAPA,NGA",103b8ba5,2016-09-12,2016-09-12,27.958787043235265,2.648333333333333,21,NGA,NGA,6.450992184840671,3.3730391786085936,6.450992184840671,3.3730391786085936,0,26,26
209118000,"LAGOS,NGA",103c7361,"DOUALA,CMR",1061427d,2013-01-16,2013-01-18,864.8635552671705,40.3525,21,NGA,CMR,6.308967219014911,3.396335922530434,3.894977803587101,9.536662822501201,731.8935909521987,24,NA
351355000,"TIN CAN ISLAND,NGA",103c7509,"TIN CAN ISLAND,NGA",103c7509,2014-08-18,2014-08-18,80.52602347406024,5.759722222222223,21,NGA,NGA,6.367445435753168,3.38150371658262,6.367445435753168,3.38150371658262,0,26,26
123456789,"OFON FIELD,NGA",106638df,"SAN DIEGO,USA",80deab55,2016-07-13,2016-07-13,318.11723068352177,27.85944444444444,21,NGA,USA,4.127001529222807,8.0945651425215015,32.71520137294238,-117.17424871167914,12964.89689269779,5,NA
355871000,"ONNE,NGA",10684a3f,"ONNE,NGA",10684a3f,2017-07-20,2017-07-21,221.64158059733612,15.597777777777777,21,NGA,NGA,4.668286610139808,7.1587472857037975,4.668286610139808,7.1587472857037975,0,7,7
355871000,"ONNE,NGA",10684a3f,"OKRIKA,NGA",1069cad1,2017-08-29,2017-08-29,60.970025264891596,3.940833333333333,21,NGA,NGA,4.668286610139808,7.1587472857037975,4.722843509626339,7.0841422643092,10.266207504950884,1,1
657539000,"AGBAMI,NGA",106c8e01,"AGBAMI,NGA",106c9201,2017-01-17,2017-01-17,6.830386904638153,9.520555555555557,21,NGA,NGA,3.486264369736924,5.565071186132125,3.4820979842924387,5.559187004832648,0.8016122645080833,35,35
999999999,"ONNE,NGA",106835f7,"AVONMOUTH,GBR",4871ed4d,2014-02-23,2014-02-23,55.99809678231027,34.12708333333333,21,NGA,GBR,4.695206017787844,7.16579639356807,51.4973163731832,-2.701435175408456,5289.8221422503975,4,NA
538004585,"CALABAR,NGA",106787cf,"LIBREVILLE,GAB",107f385b,2014-06-03,2014-06-04,487.11886608198074,21.12083333333333,21,NGA,GAB,4.973992675330839,8.32288966944903,0.3207007321356548,9.403159407735727,531.7411142061895,35,323
417222330,"SAO TOME,STP",107641dd,"ONNE,NGA",10684a41,2013-08-25,2013-08-26,503.530819595072,19.294305555555553,21,STP,NGA,0.35093574694487584,6.757490430342682,4.668614634845623,7.153962640244982,482.65909248288244,40,10
657851000,"ODUDU TERMINAL,NGA",10661fd9,"ONNE,NGA",106835f3,2012-12-28,2012-12-31,156.43434057144512,48.24388888888888,21,NGA,NGA,4.00470473065547,7.787891381338228,4.696809525181817,7.160635699545812,103.84321918239976,5,5
244886000,"LAGOS,NGA",103b8ae3,"LAGOS,NGA",103b8ae3,2016-03-10,2016-03-10,52.27319199746426,2.4143055555555555,21,NGA,NGA,6.434616162382297,3.3925756314517583,6.434616162382297,3.3925756314517583,0,5,5
1111,"LAGOS,NGA",103c0af1,"LAGOS,NGA",103c0afb,2012-01-07,2012-01-07,76.85178989661891,8.728611111111112,21,NGA,NGA,6.36705516645411,3.4519140102902677,6.361387864990161,3.452229795777754,0.6318477142146885,4,4
1193046,"BUNDABERG,AUS",6bebc11d,"CALABAR,NGA",106787c5,2016-04-30,2016-04-30,3.727967050343771,5.744583333333334,21,AUS,NGA,-24.760675641150193,152.38728994208364,4.976528334254731,8.323681008878303,15612.072266693614,NA,2
244772000,"APAPA,NGA",103b8ba5,"APAPA,NGA",103b8ba5,2017-08-16,2017-08-16,23.978448772391527,2.095,21,NGA,NGA,6.450992184840671,3.3730391786085936,6.450992184840671,3.3730391786085936,0,16,16
244772000,"LAGOS,NGA",103b8ae3,"LAGOS,NGA",103b8ae3,2017-07-23,2017-07-23,19.06472371738998,1.5820833333333333,21,NGA,NGA,6.434616162382297,3.3925756314517583,6.434616162382297,3.3925756314517583,0,10,10
657539000,"AGBAMI,NGA",106c8dfd,"AGBAMI,NGA",106c8dfd,2015-09-01,2015-09-02,28.66435502021508,14.736805555555554,21,NGA,NGA,3.48178546764894,5.569635764941248,3.48178546764894,5.569635764941248,0,110,110
244772000,"LAGOS,NGA",103b8ac7,"LAGOS,NGA",103b8ae3,2015-06-20,2015-06-20,52.7640275903244,4.168055555555556,21,NGA,NGA,6.422234198260632,3.4060092996120863,6.434616162382297,3.3925756314517583,2.026853369307146,37,37
244886000,"LAGOS,NGA",103b8ae3,"LAGOS,NGA",103b8ae3,2017-02-18,2017-02-19,39.29061860711132,3.083472222222222,21,NGA,NGA,6.434616162382297,3.3925756314517583,6.434616162382297,3.3925756314517583,0,11,11
244772000,"LAGOS,NGA",103b8ae3,"LAGOS,NGA",103b8ae3,2017-02-10,2017-02-10,45.43780945315895,3.425,21,NGA,NGA,6.434616162382297,3.3925756314517583,6.434616162382297,3.3925756314517583,0,3,3
477690800,"LAGOS,NGA",103c7341,"COTONOU,BEN",103cace3,2016-12-26,2016-12-26,124.26063676933207,4.41138888888889,21,NGA,BEN,6.293193147337282,3.402361895183415,6.276709562583158,2.4873252176635634,101.26581644678629,13,29
1193046,"CHI-LUNG,TWN",345d4f0b,"LAGOS,NGA",103c0b19,2015-02-17,2015-02-17,365.8023501479563,53.66472222222222,21,TWN,NGA,25.147103264994108,121.78641766871128,6.346256675806047,3.4421589122576726,12506.059592135844,NA,14
371897000,"WARRI,NGA",1040766b,"ESCRAVOS,NGA",10407615,2016-12-30,2016-12-30,20.012452947131006,0.9015277777777777,21,NGA,NGA,5.474558102000335,5.0831352521446025,5.474872688510426,5.077808887340781,0.5912615081960126,17,17
999999999,"LAGOS,NGA",103b8a95,"LOME,TGO",1023e14f,2015-10-16,2015-10-16,140.90101233181682,31.106944444444444,22,NGA,TGO,6.413033029009261,3.398046478021783,6.138673337700936,1.2822870052264446,236.09716719478706,24,94
244772000,"APAPA,NGA",103b8baf,"LAGOS,NGA",103b8ae3,2017-11-14,2017-11-14,89.17037536004126,7.845555555555555,22,NGA,NGA,6.4494054996681305,3.3738077107361604,6.434616162382297,3.3925756314517583,2.64960337851159,3,3
354942000,"PORT HARCOURT,NGA",1069c933,"PORT HARCOURT,NGA",1069c933,2012-09-18,2012-09-18,239.01962755719111,9.05736111111111,22,NGA,NGA,4.774032554827909,6.977974880980963,4.774032554827909,6.977974880980963,0,9,9
636016082,"ONNE,NGA",10684a6b,"BATA,GNQ",107cf79d,2014-01-19,2014-01-20,421.54900992120554,23.16041666666667,22,NGA,GNQ,4.673675558008926,7.154562508618303,1.8413938190094226,9.709373817774019,424.27863420419203,34,16
351355000,"LAGOS,NGA",103c74dd,"TIN CAN ISLAND,NGA",103c7507,2012-08-21,2012-08-23,10.869130313699104,30.47791666666667,22,NGA,NGA,6.345949737047363,3.4019572353350886,6.362842843907368,3.382162530999586,2.886606074525945,18,18
