year,lat_bin,lon_bin,hours
2012,-89,-138,0
2012,-89,-2,0
2012,-89,0,0
2012,-89,3,0
2012,-89,4,92.84416666666667
2012,-89,5,0
2012,-89,6,0
2012,-89,25,0
2012,-89,26,0
2012,-89,59,0
2012,-89,116,0
2012,-89,177,0
2012,-88,-164,0
2012,-88,0,76.27083333333336
2012,-88,1,0
2012,-88,2,0
2012,-88,3,0
2012,-88,4,443.97652777777773
2012,-88,5,0
2012,-88,6,0
2012,-88,9,0
2012,-88,13,0
2012,-88,32,0
2012,-88,34,0
2012,-88,46,0
2012,-88,47,0
2012,-88,72,0
2012,-88,103,20.496666666666666
2012,-88,144,0
2012,-88,167,0
2012,-88,170,0
2012,-88,177,0
2012,-87,-110,0
2012,-87,-108,0
2012,-87,-75,0
2012,-87,0,97.00013888888888
2012,-87,1,0
2012,-87,2,0
2012,-87,3,0
2012,-87,4,276.23
2012,-87,5,0
2012,-87,6,0
2012,-87,7,0
2012,-87,8,0
2012,-87,10,0
2012,-87,13,0
2012,-87,16,0
2012,-87,19,0
2012,-87,29,0
2012,-87,30,0
2012,-87,31,0
2012,-87,43,0
2012,-87,72,0
2012,-86,-90,0
2012,-86,3,0
2012,-86,4,160.66986111111112
2012,-86,5,0
2012,-86,6,0
2012,-86,7,0
2012,-86,8,0
2012,-86,11,0
2012,-86,28,0
2012,-86,29,0
2012,-86,30,0
2012,-86,34,0
2012,-86,39,0
2012,-86,53,0
2012,-86,102,0
2012,-86,116,0
2012,-85,-139,0
2012,-85,-90,0
2012,-85,-31,0
2012,-85,-3,0
2012,-85,-1,0
2012,-85,0,47.41333333333333
2012,-85,1,0
2012,-85,3,0
2012,-85,4,580.2847222222222
2012,-85,8,0
2012,-85,17,0
2012,-85,23,0
2012,-85,32,0
2012,-85,50,0
2012,-85,60,0
2012,-85,116,0
2012,-85,122,0
2012,-85,154,0
2012,-84,-2,0
2012,-84,0,41.02666666666667
2012,-84,2,0
2012,-84,3,0
2012,-84,4,110.70333333333336
2012,-84,5,0
2012,-84,16,0
2012,-84,113,0
2012,-84,116,0
2012,-84,149,0
2012,-83,-165,0
2012,-83,-1,0
2012,-83,0,25.677500000000002
2012,-83,2,0
2012,-83,3,0
2012,-83,4,819.6783333333327
2012,-83,5,0
2012,-83,63,0
2012,-83,103,0
2012,-82,-126,0
2012,-82,-94,0
2012,-82,-81,0
2012,-82,-2,0
2012,-82,1,0
2012,-82,2,0
2012,-82,3,0
2012,-82,4,151.8536111111111
2012,-82,5,0
2012,-82,52,0
2012,-81,-81,0
2012,-81,0,0
2012,-81,1,0
2012,-81,3,0
2012,-81,4,51.475833333333334
2012,-81,7,0
2012,-81,8,0
2012,-81,10,0
2012,-81,41,0
2012,-81,121,0
2012,-80,0,0
2012,-80,1,0
2012,-80,3,0
2012,-80,4,146.1575
2012,-80,8,61.85833333333333
2012,-80,19,0
2012,-80,103,0
2012,-79,-177,28.430000000000007
2012,-79,-175,18.994999999999997
2012,-79,-174,9.560833333333333
2012,-79,-173,13.910000000000004
2012,-79,-172,14.460833333333333
2012,-79,-171,9.55
2012,-79,-170,46.90750000000001
2012,-79,-160,22.121666666666673
2012,-79,0,0
2012,-79,3,0
2012,-79,4,179.21916666666664
2012,-79,5,0
2012,-79,17,0
2012,-79,28,0
2012,-79,52,0
2012,-78,-179,18.658333333333328
2012,-78,-178,28.19583333333334
2012,-78,-177,9.636666666666667
2012,-78,-176,9.381666666666664
2012,-78,-174,9.457500000000001
2012,-78,0,18.918333333333333
2012,-78,3,0
2012,-78,4,733.8816666666669
2012,-78,8,0
2012,-78,10,0
2012,-78,23,0
2012,-78,28,0
2012,-78,165,160.25861111111107
2012,-78,166,284.7472222222223
2012,-78,167,0.7825
2012,-78,169,18.843333333333334
2012,-78,170,18.498333333333335
2012,-78,171,19.000833333333336
2012,-78,172,9.365
2012,-78,173,9.498333333333333
2012,-78,174,14.29416666666667
2012,-78,175,14.416666666666668
2012,-78,176,9.669166666666667
2012,-78,177,9.318333333333332
2012,-78,178,9.526666666666667
2012,-78,179,28.413333333333334
2012,-77,-90,0
2012,-77,-75,0
2012,-77,0,0
2012,-77,3,0
2012,-77,4,74.35833333333332
2012,-77,6,0
2012,-77,7,0
2012,-77,8,0
2012,-77,11,0
2012,-77,25,0
2012,-77,54,0
2012,-77,125,0
2012,-77,163,9.534166666666668
2012,-77,164,19.177500000000002
2012,-77,165,39.32180555555557
2012,-77,166,34.97402777777777
2012,-77,167,45.19166666666667
2012,-77,168,30.883888888888883
2012,-77,169,13.519166666666669
2012,-77,174,9.375
2012,-77,175,9.491666666666669
2012,-77,176,9.554166666666667
2012,-77,177,9.424166666666666
2012,-77,178,9.6725
2012,-76,0,0
2012,-76,1,0
2012,-76,3,0
2012,-76,4,152.83999999999997
2012,-76,6,0
2012,-76,7,0
2012,-76,8,0
2012,-76,9,0
2012,-76,28,0
2012,-76,120,0
2012,-76,163,9.866666666666667
2012,-76,164,154.23416666666674
2012,-76,165,42.32249999999999
2012,-76,166,47.82583333333332
2012,-76,167,71.0275
2012,-76,168,47.78583333333334
2012,-76,169,61.94749999999999
2012,-76,170,55.23902777777778
2012,-76,171,28.234166666666667
2012,-76,172,10.82513888888889
2012,-76,173,9.321666666666667
2012,-75,-179,9.36
2012,-75,-177,9.388333333333334
2012,-75,-176,9.655000000000001
2012,-75,-174,9.400833333333333
2012,-75,-173,65.94166666666666
2012,-75,0,0
2012,-75,3,0
2012,-75,4,184.7791666666667
2012,-75,6,0
2012,-75,8,0
2012,-75,11,0
2012,-75,18,0
2012,-75,23,0
2012,-75,96,0
2012,-75,119,0
2012,-75,120,0
2012,-75,122,0
2012,-75,126,0
2012,-75,135,0
2012,-75,164,4016.294999999999
2012,-75,165,72.13333333333334
2012,-75,166,70.9
2012,-75,167,85.02666666666664
