Hotspot,date,hotspot_attacks_window_last3_month,hotspot_attacks_window_last6_month,hotspot_attacks_window_last9_month,hotspot_attacks_window_last12_month
Gulf of Aden,2010-01-01,2,2,2,2
Gulf of Aden,2010-01-02,2,2,2,2
Gulf of Aden,2010-01-03,2,2,2,2
Gulf of Aden,2010-01-04,2,2,2,2
Gulf of Aden,2010-01-05,3,3,3,3
Gulf of Aden,2010-01-06,3,3,3,3
Gulf of Aden,2010-01-07,3,3,3,3
Gulf of Aden,2010-01-08,3,3,3,3
Gulf of Aden,2010-01-09,4,4,4,4
Gulf of Aden,2010-01-10,4,4,4,4
Gulf of Aden,2010-01-11,4,4,4,4
Gulf of Aden,2010-01-12,4,4,4,4
Gulf of Aden,2010-01-13,4,4,4,4
Gulf of Aden,2010-01-14,4,4,4,4
Gulf of Aden,2010-01-15,4,4,4,4
Gulf of Aden,2010-01-16,5,5,5,5
Gulf of Aden,2010-01-17,6,6,6,6
Gulf of Aden,2010-01-18,6,6,6,6
Gulf of Aden,2010-01-19,6,6,6,6
Gulf of Aden,2010-01-20,7,7,7,7
Gulf of Aden,2010-01-21,7,7,7,7
Gulf of Aden,2010-01-22,7,7,7,7
Gulf of Aden,2010-01-23,7,7,7,7
Gulf of Aden,2010-01-24,7,7,7,7
Gulf of Aden,2010-01-25,7,7,7,7
Gulf of Aden,2010-01-26,8,8,8,8
Gulf of Aden,2010-01-27,8,8,8,8
Gulf of Aden,2010-01-28,8,8,8,8
Gulf of Aden,2010-01-29,8,8,8,8
Gulf of Aden,2010-01-30,8,8,8,8
Gulf of Aden,2010-01-31,8,8,8,8
Gulf of Aden,2010-02-01,9,9,9,9
Gulf of Aden,2010-02-02,10,10,10,10
Gulf of Aden,2010-02-03,11,11,11,11
Gulf of Aden,2010-02-04,11,11,11,11
Gulf of Aden,2010-02-05,12,12,12,12
Gulf of Aden,2010-02-06,12,12,12,12
Gulf of Aden,2010-02-07,12,12,12,12
Gulf of Aden,2010-02-08,12,12,12,12
Gulf of Aden,2010-02-09,12,12,12,12
Gulf of Aden,2010-02-10,12,12,12,12
Gulf of Aden,2010-02-11,12,12,12,12
Gulf of Aden,2010-02-12,12,12,12,12
Gulf of Aden,2010-02-13,12,12,12,12
Gulf of Aden,2010-02-14,12,12,12,12
Gulf of Aden,2010-02-15,12,12,12,12
Gulf of Aden,2010-02-16,12,12,12,12
Gulf of Aden,2010-02-17,12,12,12,12
Gulf of Aden,2010-02-18,12,12,12,12
Gulf of Aden,2010-02-19,12,12,12,12
Gulf of Aden,2010-02-20,12,12,12,12
Gulf of Aden,2010-02-21,13,13,13,13
Gulf of Aden,2010-02-22,13,13,13,13
Gulf of Aden,2010-02-23,14,14,14,14
Gulf of Aden,2010-02-24,14,14,14,14
Gulf of Aden,2010-02-25,14,14,14,14
Gulf of Aden,2010-02-26,14,14,14,14
Gulf of Aden,2010-02-27,14,14,14,14
Gulf of Aden,2010-02-28,16,16,16,16
Gulf of Aden,2010-03-01,17,17,17,17
Gulf of Aden,2010-03-02,19,19,19,19
Gulf of Aden,2010-03-03,20,20,20,20
Gulf of Aden,2010-03-04,22,22,22,22
Gulf of Aden,2010-03-05,25,25,25,25
Gulf of Aden,2010-03-06,25,25,25,25
Gulf of Aden,2010-03-07,25,25,25,25
Gulf of Aden,2010-03-08,27,27,27,27
Gulf of Aden,2010-03-09,27,27,27,27
Gulf of Aden,2010-03-10,28,28,28,28
Gulf of Aden,2010-03-11,28,28,28,28
Gulf of Aden,2010-03-12,28,28,28,28
Gulf of Aden,2010-03-13,28,28,28,28
Gulf of Aden,2010-03-14,28,28,28,28
Gulf of Aden,2010-03-15,28,28,28,28
Gulf of Aden,2010-03-16,28,28,28,28
Gulf of Aden,2010-03-17,28,28,28,28
Gulf of Aden,2010-03-18,28,28,28,28
Gulf of Aden,2010-03-19,28,28,28,28
Gulf of Aden,2010-03-20,29,29,29,29
Gulf of Aden,2010-03-21,29,29,29,29
Gulf of Aden,2010-03-22,30,30,30,30
Gulf of Aden,2010-03-23,34,34,34,34
Gulf of Aden,2010-03-24,36,36,36,36
Gulf of Aden,2010-03-25,37,37,37,37
Gulf of Aden,2010-03-26,39,39,39,39
Gulf of Aden,2010-03-27,41,41,41,41
Gulf of Aden,2010-03-28,42,42,42,42
Gulf of Aden,2010-03-29,43,43,43,43
Gulf of Aden,2010-03-30,44,44,44,44
Gulf of Aden,2010-03-31,47,47,47,47
Gulf of Aden,2010-04-01,45,47,47,47
Gulf of Aden,2010-04-02,46,48,48,48
Gulf of Aden,2010-04-03,47,49,49,49
Gulf of Aden,2010-04-04,49,51,51,51
Gulf of Aden,2010-04-05,51,54,54,54
Gulf of Aden,2010-04-06,52,55,55,55
Gulf of Aden,2010-04-07,52,55,55,55
Gulf of Aden,2010-04-08,54,57,57,57
Gulf of Aden,2010-04-09,55,59,59,59
Gulf of Aden,2010-04-10,55,59,59,59
Gulf of Aden,2010-04-11,56,60,60,60
Gulf of Aden,2010-04-12,56,60,60,60
Gulf of Aden,2010-04-13,56,60,60,60
Gulf of Aden,2010-04-14,57,61,61,61
Gulf of Aden,2010-04-15,57,61,61,61
Gulf of Aden,2010-04-16,56,61,61,61
Gulf of Aden,2010-04-17,55,61,61,61
Gulf of Aden,2010-04-18,55,61,61,61
Gulf of Aden,2010-04-19,56,62,62,62
Gulf of Aden,2010-04-20,55,62,62,62
Gulf of Aden,2010-04-21,57,64,64,64
Gulf of Aden,2010-04-22,58,65,65,65
Gulf of Aden,2010-04-23,60,67,67,67
Gulf of Aden,2010-04-24,60,67,67,67
Gulf of Aden,2010-04-25,65,72,72,72
Gulf of Aden,2010-04-26,64,72,72,72
Gulf of Aden,2010-04-27,64,72,72,72
Gulf of Aden,2010-04-28,64,72,72,72
Gulf of Aden,2010-04-29,64,72,72,72
Gulf of Aden,2010-04-30,64,72,72,72
Gulf of Aden,2010-05-01,64,72,72,72
Gulf of Aden,2010-05-02,63,72,72,72
Gulf of Aden,2010-05-03,62,72,72,72
Gulf of Aden,2010-05-04,61,72,72,72
Gulf of Aden,2010-05-05,65,76,76,76
Gulf of Aden,2010-05-06,66,78,78,78
Gulf of Aden,2010-05-07,66,78,78,78
Gulf of Aden,2010-05-08,67,79,79,79
Gulf of Aden,2010-05-09,67,79,79,79
Gulf of Aden,2010-05-10,68,80,80,80
Gulf of Aden,2010-05-11,69,81,81,81
Gulf of Aden,2010-05-12,71,83,83,83
Gulf of Aden,2010-05-13,71,83,83,83
Gulf of Aden,2010-05-14,71,83,83,83
Gulf of Aden,2010-05-15,71,83,83,83
Gulf of Aden,2010-05-16,71,83,83,83
Gulf of Aden,2010-05-17,71,83,83,83
Gulf of Aden,2010-05-18,71,83,83,83
Gulf of Aden,2010-05-19,71,83,83,83
Gulf of Aden,2010-05-20,71,83,83,83
Gulf of Aden,2010-05-21,71,83,83,83
Gulf of Aden,2010-05-22,70,83,83,83
Gulf of Aden,2010-05-23,70,83,83,83
Gulf of Aden,2010-05-24,69,83,83,83
Gulf of Aden,2010-05-25,70,84,84,84
Gulf of Aden,2010-05-26,70,84,84,84
Gulf of Aden,2010-05-27,70,84,84,84
Gulf of Aden,2010-05-28,71,85,85,85
Gulf of Aden,2010-05-29,69,85,85,85
Gulf of Aden,2010-05-30,70,87,87,87
Gulf of Aden,2010-05-31,68,87,87,87
Gulf of Aden,2010-06-01,67,87,87,87
Gulf of Aden,2010-06-02,68,90,90,90
Gulf of Aden,2010-06-03,65,90,90,90
Gulf of Aden,2010-06-04,66,91,91,91
Gulf of Aden,2010-06-05,66,91,91,91
Gulf of Aden,2010-06-06,64,91,91,91
Gulf of Aden,2010-06-07,65,92,92,92
Gulf of Aden,2010-06-08,64,92,92,92
Gulf of Aden,2010-06-09,64,92,92,92
Gulf of Aden,2010-06-10,64,92,92,92
Gulf of Aden,2010-06-11,64,92,92,92
Gulf of Aden,2010-06-12,64,92,92,92
Gulf of Aden,2010-06-13,65,93,93,93
Gulf of Aden,2010-06-14,65,93,93,93
Gulf of Aden,2010-06-15,66,94,94,94
Gulf of Aden,2010-06-16,66,94,94,94
Gulf of Aden,2010-06-17,66,94,94,94
Gulf of Aden,2010-06-18,67,96,96,96
Gulf of Aden,2010-06-19,67,96,96,96
Gulf of Aden,2010-06-20,66,96,96,96
Gulf of Aden,2010-06-21,63,97,97,97
Gulf of Aden,2010-06-22,61,97,97,97
Gulf of Aden,2010-06-23,60,97,97,97
Gulf of Aden,2010-06-24,59,98,98,98
Gulf of Aden,2010-06-25,57,98,98,98
Gulf of Aden,2010-06-26,56,98,98,98
Gulf of Aden,2010-06-27,56,99,99,99
Gulf of Aden,2010-06-28,56,100,100,100
Gulf of Aden,2010-06-29,53,100,100,100
Gulf of Aden,2010-06-30,53,98,100,100
Gulf of Aden,2010-07-01,52,98,100,100
Gulf of Aden,2010-07-02,51,98,100,100
Gulf of Aden,2010-07-03,49,98,100,100
Gulf of Aden,2010-07-04,48,99,102,102
Gulf of Aden,2010-07-05,48,100,103,103
Gulf of Aden,2010-07-06,48,100,103,103
Gulf of Aden,2010-07-07,46,100,103,103
Gulf of Aden,2010-07-08,44,99,103,103
Gulf of Aden,2010-07-09,46,101,105,105
Gulf of Aden,2010-07-10,45,101,105,105
Gulf of Aden,2010-07-11,45,101,105,105
Gulf of Aden,2010-07-12,45,101,105,105
Gulf of Aden,2010-07-13,44,101,105,105
Gulf of Aden,2010-07-14,44,101,105,105
Gulf of Aden,2010-07-15,44,100,105,105
Gulf of Aden,2010-07-16,44,99,105,105
Gulf of Aden,2010-07-17,44,99,105,105
Gulf of Aden,2010-07-18,44,100,106,106
Gulf of Aden,2010-07-19,44,99,106,106
Gulf of Aden,2010-07-20,42,99,106,106
Gulf of Aden,2010-07-21,42,100,107,107
Gulf of Aden,2010-07-22,40,100,107,107
Gulf of Aden,2010-07-23,40,100,107,107
Gulf of Aden,2010-07-24,35,100,107,107
Gulf of Aden,2010-07-25,35,99,107,107
Gulf of Aden,2010-07-26,35,99,107,107
Gulf of Aden,2010-07-27,35,99,107,107
Gulf of Aden,2010-07-28,35,99,107,107
Gulf of Aden,2010-07-29,36,100,108,108
Gulf of Aden,2010-07-30,36,100,108,108
Gulf of Aden,2010-07-31,37,100,109,109
Gulf of Aden,2010-08-01,38,100,110,110
Gulf of Aden,2010-08-02,40,101,112,112
Gulf of Aden,2010-08-03,38,103,114,114
Gulf of Aden,2010-08-04,37,103,115,115
Gulf of Aden,2010-08-05,39,105,117,117
Gulf of Aden,2010-08-06,38,105,117,117
Gulf of Aden,2010-08-07,38,105,117,117
Gulf of Aden,2010-08-08,37,105,117,117
Gulf of Aden,2010-08-09,36,105,117,117
Gulf of Aden,2010-08-10,34,105,117,117
Gulf of Aden,2010-08-11,35,106,118,118
Gulf of Aden,2010-08-12,35,106,118,118
Gulf of Aden,2010-08-13,35,106,118,118
Gulf of Aden,2010-08-14,35,106,118,118
Gulf of Aden,2010-08-15,35,106,118,118
Gulf of Aden,2010-08-16,35,106,118,118
Gulf of Aden,2010-08-17,35,106,118,118
Gulf of Aden,2010-08-18,36,107,119,119
Gulf of Aden,2010-08-19,36,107,119,119
Gulf of Aden,2010-08-20,36,106,119,119
Gulf of Aden,2010-08-21,36,106,119,119
Gulf of Aden,2010-08-22,38,107,121,121
Gulf of Aden,2010-08-23,37,107,121,121
Gulf of Aden,2010-08-24,37,107,121,121
Gulf of Aden,2010-08-25,37,107,121,121
Gulf of Aden,2010-08-26,36,107,121,121
Gulf of Aden,2010-08-27,36,105,121,121
Gulf of Aden,2010-08-28,36,106,123,123
Gulf of Aden,2010-08-29,36,104,123,123
Gulf of Aden,2010-08-30,36,103,123,123
Gulf of Aden,2010-08-31,33,101,123,123
Gulf of Aden,2010-09-01,33,98,123,123
Gulf of Aden,2010-09-02,32,98,123,123
Gulf of Aden,2010-09-03,32,98,123,123
Gulf of Aden,2010-09-04,32,96,123,123
Gulf of Aden,2010-09-05,31,96,123,123
Gulf of Aden,2010-09-06,32,96,124,124
Gulf of Aden,2010-09-07,32,96,124,124
Gulf of Aden,2010-09-08,34,98,126,126
Gulf of Aden,2010-09-09,34,98,126,126
Gulf of Aden,2010-09-10,34,98,126,126
Gulf of Aden,2010-09-11,35,100,128,128
Gulf of Aden,2010-09-12,35,100,128,128
Gulf of Aden,2010-09-13,34,100,128,128
Gulf of Aden,2010-09-14,35,101,129,129
Gulf of Aden,2010-09-15,35,101,129,129
Gulf of Aden,2010-09-16,33,100,129,129
Gulf of Aden,2010-09-17,33,100,129,129
Gulf of Aden,2010-09-18,33,99,129,129
Gulf of Aden,2010-09-19,33,96,130,130
Gulf of Aden,2010-09-20,34,95,131,131
Gulf of Aden,2010-09-21,34,94,131,131
Gulf of Aden,2010-09-22,33,92,131,131
Gulf of Aden,2010-09-23,33,90,131,131
Gulf of Aden,2010-09-24,34,90,132,132
Gulf of Aden,2010-09-25,34,90,133,133
Gulf of Aden,2010-09-26,34,90,134,134
Gulf of Aden,2010-09-27,34,87,134,134
Gulf of Aden,2010-09-28,36,89,134,136
Gulf of Aden,2010-09-29,39,91,137,139
Gulf of Aden,2010-09-30,40,91,138,140
Gulf of Aden,2010-10-01,40,89,138,140
Gulf of Aden,2010-10-02,40,88,139,142
Gulf of Aden,2010-10-03,42,90,142,145
Gulf of Aden,2010-10-04,42,90,142,145
Gulf of Aden,2010-10-05,43,89,143,146
Gulf of Aden,2010-10-06,43,87,142,146
Gulf of Aden,2010-10-07,41,87,142,146
Gulf of Aden,2010-10-08,41,86,142,146
Gulf of Aden,2010-10-09,41,86,142,146
Gulf of Aden,2010-10-10,42,87,143,147
Gulf of Aden,2010-10-11,42,86,143,147
Gulf of Aden,2010-10-12,43,87,144,148
Gulf of Aden,2010-10-13,43,87,143,148
Gulf of Aden,2010-10-14,45,89,144,150
Gulf of Aden,2010-10-15,45,89,144,150
Gulf of Aden,2010-10-16,44,88,144,150
Gulf of Aden,2010-10-17,47,91,146,153
Gulf of Aden,2010-10-18,49,91,148,155
Gulf of Aden,2010-10-19,50,92,150,157
Gulf of Aden,2010-10-20,52,92,152,159
Gulf of Aden,2010-10-21,52,92,152,159
Gulf of Aden,2010-10-22,53,88,153,160
Gulf of Aden,2010-10-23,54,89,153,161
Gulf of Aden,2010-10-24,55,90,154,162
Gulf of Aden,2010-10-25,55,90,154,162
Gulf of Aden,2010-10-26,55,90,154,162
Gulf of Aden,2010-10-27,55,91,155,163
Gulf of Aden,2010-10-28,57,93,157,165
Gulf of Aden,2010-10-29,56,93,156,165
Gulf of Aden,2010-10-30,57,95,157,167
Gulf of Aden,2010-10-31,55,95,156,167
Gulf of Aden,2010-11-01,53,91,156,167
Gulf of Aden,2010-11-02,54,91,157,169
Gulf of Aden,2010-11-03,53,92,158,170
Gulf of Aden,2010-11-04,53,91,158,170
Gulf of Aden,2010-11-05,53,91,158,170
Gulf of Aden,2010-11-06,54,91,159,171
Gulf of Aden,2010-11-07,54,90,159,171
Gulf of Aden,2010-11-08,54,88,159,171
Gulf of Aden,2010-11-09,56,91,162,174
Gulf of Aden,2010-11-10,57,92,163,175
Gulf of Aden,2010-11-11,64,99,170,182
Gulf of Aden,2010-11-12,66,101,172,184
Gulf of Aden,2010-11-13,68,103,174,186
Gulf of Aden,2010-11-14,68,103,174,186
Gulf of Aden,2010-11-15,69,104,175,187
Gulf of Aden,2010-11-16,68,104,175,187
Gulf of Aden,2010-11-17,68,104,175,187
Gulf of Aden,2010-11-18,73,109,179,192
Gulf of Aden,2010-11-19,73,109,179,192
Gulf of Aden,2010-11-20,76,114,183,197
Gulf of Aden,2010-11-21,81,118,188,202
Gulf of Aden,2010-11-22,86,123,193,207
Gulf of Aden,2010-11-23,88,125,195,209
Gulf of Aden,2010-11-24,91,127,198,212
Gulf of Aden,2010-11-25,92,128,197,213
Gulf of Aden,2010-11-26,91,127,197,214
Gulf of Aden,2010-11-27,93,129,197,216
Gulf of Aden,2010-11-28,93,129,196,216
Gulf of Aden,2010-11-29,96,129,197,219
Gulf of Aden,2010-11-30,96,129,194,219
Gulf of Aden,2010-12-01,96,128,194,219
Gulf of Aden,2010-12-02,96,128,194,219
Gulf of Aden,2010-12-03,96,128,192,219
Gulf of Aden,2010-12-04,96,127,192,219
Gulf of Aden,2010-12-05,96,128,192,220
Gulf of Aden,2010-12-06,96,128,192,220
Gulf of Aden,2010-12-07,94,128,192,220
Gulf of Aden,2010-12-08,94,128,192,220
Gulf of Aden,2010-12-09,94,128,192,220
Gulf of Aden,2010-12-10,95,130,195,223
Gulf of Aden,2010-12-11,95,130,195,223
Gulf of Aden,2010-12-12,95,129,195,223
Gulf of Aden,2010-12-13,97,132,198,226
Gulf of Aden,2010-12-14,99,134,200,228
Gulf of Aden,2010-12-15,100,133,200,229
Gulf of Aden,2010-12-16,100,133,200,229
Gulf of Aden,2010-12-17,101,134,200,230
Gulf of Aden,2010-12-18,100,133,196,230
Gulf of Aden,2010-12-19,100,134,195,231
Gulf of Aden,2010-12-20,100,134,194,231
Gulf of Aden,2010-12-21,101,134,193,232
Gulf of Aden,2010-12-22,105,138,195,236
Gulf of Aden,2010-12-23,104,138,194,236
Gulf of Aden,2010-12-24,103,137,193,236
Gulf of Aden,2010-12-25,103,137,193,237
Gulf of Aden,2010-12-26,103,137,190,237
Gulf of Aden,2010-12-27,104,140,193,238
Gulf of Aden,2010-12-28,101,140,192,238
Gulf of Aden,2010-12-29,100,140,191,238
Gulf of Aden,2010-12-30,100,140,189,238
Gulf of Aden,2010-12-31,98,138,186,237
Gulf of Aden,2011-01-01,100,142,190,242
Gulf of Aden,2011-01-02,102,144,192,244
Gulf of Aden,2011-01-03,106,149,195,249
Gulf of Aden,2011-01-04,107,150,194,249
Gulf of Aden,2011-01-05,107,148,194,249
Gulf of Aden,2011-01-06,112,153,198,254
Gulf of Aden,2011-01-07,113,154,199,255
Gulf of Aden,2011-01-08,113,155,200,256
Gulf of Aden,2011-01-09,114,156,200,257
Gulf of Aden,2011-01-10,114,157,201,258
Gulf of Aden,2011-01-11,117,160,204,260
Gulf of Aden,2011-01-12,119,164,208,263
Gulf of Aden,2011-01-13,121,166,210,265
Gulf of Aden,2011-01-14,125,169,213,269
Gulf of Aden,2011-01-15,124,171,215,270
Gulf of Aden,2011-01-16,123,172,214,271
Gulf of Aden,2011-01-17,125,175,217,275
Gulf of Aden,2011-01-18,125,177,217,277
Gulf of Aden,2011-01-19,127,179,219,279
Gulf of Aden,2011-01-20,130,183,218,283
Gulf of Aden,2011-01-21,130,184,219,283
Gulf of Aden,2011-01-22,129,184,219,283
Gulf of Aden,2011-01-23,129,184,219,283
Gulf of Aden,2011-01-24,129,184,219,283
Gulf of Aden,2011-01-25,129,184,220,284
Gulf of Aden,2011-01-26,128,185,221,285
Gulf of Aden,2011-01-27,128,184,221,284
Gulf of Aden,2011-01-28,127,184,222,284
Gulf of Aden,2011-01-29,127,182,222,283
Gulf of Aden,2011-01-30,128,181,219,284
Gulf of Aden,2011-01-31,126,180,217,283
Gulf of Aden,2011-02-01,127,180,219,285
Gulf of Aden,2011-02-02,129,182,220,287
Gulf of Aden,2011-02-03,130,183,221,288
Gulf of Aden,2011-02-04,129,183,220,288
Gulf of Aden,2011-02-05,131,185,221,290
Gulf of Aden,2011-02-06,131,185,219,290
Gulf of Aden,2011-02-07,128,184,219,290
Gulf of Aden,2011-02-08,129,186,221,292
Gulf of Aden,2011-02-09,123,187,222,293
Gulf of Aden,2011-02-10,122,188,223,294
Gulf of Aden,2011-02-11,120,188,223,294
Gulf of Aden,2011-02-12,122,190,225,296
Gulf of Aden,2011-02-13,122,191,226,297
Gulf of Aden,2011-02-14,122,190,226,297
Gulf of Aden,2011-02-15,122,190,226,297
Gulf of Aden,2011-02-16,117,190,226,296
Gulf of Aden,2011-02-17,117,190,226,296
Gulf of Aden,2011-02-18,113,189,227,296
Gulf of Aden,2011-02-19,109,190,227,297
Gulf of Aden,2011-02-20,104,190,227,297
Gulf of Aden,2011-02-21,102,190,227,297
Gulf of Aden,2011-02-22,99,190,226,297
Gulf of Aden,2011-02-23,98,190,226,295
Gulf of Aden,2011-02-24,98,189,225,295
Gulf of Aden,2011-02-25,102,195,231,299
Gulf of Aden,2011-02-26,102,195,231,298
Gulf of Aden,2011-02-27,100,196,229,297
Gulf of Aden,2011-02-28,102,198,231,296
Gulf of Aden,2011-03-01,103,199,231,297
Gulf of Aden,2011-03-02,104,200,232,298
Gulf of Aden,2011-03-03,109,205,237,301
Gulf of Aden,2011-03-04,114,210,241,306
Gulf of Aden,2011-03-05,116,212,244,308
Gulf of Aden,2011-03-06,117,213,245,309
Gulf of Aden,2011-03-07,117,211,245,309
Gulf of Aden,2011-03-08,117,211,245,309
Gulf of Aden,2011-03-09,117,211,245,309
Gulf of Aden,2011-03-10,116,211,246,311
Gulf of Aden,2011-03-11,117,212,247,312
Gulf of Aden,2011-03-12,118,213,247,313
Gulf of Aden,2011-03-13,115,212,247,313
Gulf of Aden,2011-03-14,113,212,247,313
Gulf of Aden,2011-03-15,113,213,246,313
Gulf of Aden,2011-03-16,114,214,247,314
Gulf of Aden,2011-03-17,113,214,247,313
Gulf of Aden,2011-03-18,113,213,246,309
Gulf of Aden,2011-03-19,112,212,246,307
Gulf of Aden,2011-03-20,112,212,246,306
Gulf of Aden,2011-03-21,113,214,247,306
Gulf of Aden,2011-03-22,110,215,248,305
Gulf of Aden,2011-03-23,112,216,250,306
Gulf of Aden,2011-03-24,115,218,252,308
Gulf of Aden,2011-03-25,115,218,252,308
Gulf of Aden,2011-03-26,115,218,252,305
Gulf of Aden,2011-03-27,113,217,253,306
Gulf of Aden,2011-03-28,114,215,254,306
Gulf of Aden,2011-03-29,116,216,256,307
Gulf of Aden,2011-03-30,116,216,256,305
Gulf of Aden,2011-03-31,116,214,254,302
Gulf of Aden,2011-04-01,113,213,255,303
Gulf of Aden,2011-04-02,112,214,256,304
Gulf of Aden,2011-04-03,107,213,256,302
Gulf of Aden,2011-04-04,106,213,256,300
Gulf of Aden,2011-04-05,108,215,256,302
Gulf of Aden,2011-04-06,103,215,256,301
Gulf of Aden,2011-04-07,102,215,256,301
Gulf of Aden,2011-04-08,103,216,258,303
Gulf of Aden,2011-04-09,103,217,259,303
Gulf of Aden,2011-04-10,103,217,260,304
Gulf of Aden,2011-04-11,101,218,261,305
Gulf of Aden,2011-04-12,99,218,263,307
Gulf of Aden,2011-04-13,97,218,263,307
Gulf of Aden,2011-04-14,93,218,262,306
Gulf of Aden,2011-04-15,91,215,262,306
Gulf of Aden,2011-04-16,90,213,262,304
Gulf of Aden,2011-04-17,87,212,262,304
Gulf of Aden,2011-04-18,87,212,264,304
Gulf of Aden,2011-04-19,85,212,264,304
Gulf of Aden,2011-04-20,82,212,265,300
Gulf of Aden,2011-04-21,82,212,266,301
Gulf of Aden,2011-04-22,83,212,267,302
Gulf of Aden,2011-04-23,83,212,267,302
Gulf of Aden,2011-04-24,85,214,269,304
Gulf of Aden,2011-04-25,84,213,268,304
Gulf of Aden,2011-04-26,83,211,268,304
Gulf of Aden,2011-04-27,83,211,267,304
Gulf of Aden,2011-04-28,83,210,267,305
Gulf of Aden,2011-04-29,83,210,265,305
Gulf of Aden,2011-04-30,82,210,263,301
Gulf of Aden,2011-05-01,82,208,262,299
Gulf of Aden,2011-05-02,80,207,260,299
Gulf of Aden,2011-05-03,79,208,261,299
Gulf of Aden,2011-05-04,79,209,262,300
Gulf of Aden,2011-05-05,82,211,265,302
Gulf of Aden,2011-05-06,81,212,266,302
Gulf of Aden,2011-05-07,81,212,266,300
Gulf of Aden,2011-05-08,82,210,266,301
Gulf of Aden,2011-05-09,80,209,266,301
Gulf of Aden,2011-05-10,81,204,268,303
Gulf of Aden,2011-05-11,81,203,269,304
Gulf of Aden,2011-05-12,81,201,269,304
Gulf of Aden,2011-05-13,80,202,270,305
Gulf of Aden,2011-05-14,81,203,272,307
Gulf of Aden,2011-05-15,82,204,272,308
Gulf of Aden,2011-05-16,83,205,273,309
Gulf of Aden,2011-05-17,84,201,274,310
Gulf of Aden,2011-05-18,84,201,274,310
Gulf of Aden,2011-05-19,83,196,272,310
Gulf of Aden,2011-05-20,83,192,273,310
Gulf of Aden,2011-05-21,84,188,274,311
Gulf of Aden,2011-05-22,86,188,276,313
Gulf of Aden,2011-05-23,86,185,276,312
Gulf of Aden,2011-05-24,86,184,276,312
Gulf of Aden,2011-05-25,87,185,276,312
Gulf of Aden,2011-05-26,82,184,277,313
Gulf of Aden,2011-05-27,82,184,277,313
Gulf of Aden,2011-05-28,81,181,277,310
Gulf of Aden,2011-05-29,80,182,278,311
Gulf of Aden,2011-05-30,79,182,278,310
Gulf of Aden,2011-05-31,80,184,280,312
Gulf of Aden,2011-06-01,75,184,280,312
Gulf of Aden,2011-06-02,70,184,280,311
Gulf of Aden,2011-06-03,67,183,279,311
Gulf of Aden,2011-06-04,66,183,279,311
Gulf of Aden,2011-06-05,66,183,277,311
Gulf of Aden,2011-06-06,67,184,278,312
Gulf of Aden,2011-06-07,68,185,279,313
Gulf of Aden,2011-06-08,66,182,277,312
Gulf of Aden,2011-06-09,65,182,277,312
Gulf of Aden,2011-06-10,65,183,278,312
Gulf of Aden,2011-06-11,71,186,283,318
Gulf of Aden,2011-06-12,72,185,284,319
Gulf of Aden,2011-06-13,71,184,284,317
Gulf of Aden,2011-06-14,70,184,284,317
Gulf of Aden,2011-06-15,71,184,285,318
Gulf of Aden,2011-06-16,72,185,285,318
Gulf of Aden,2011-06-17,72,184,284,318
Gulf of Aden,2011-06-18,72,184,284,318
Gulf of Aden,2011-06-19,70,183,284,317
Gulf of Aden,2011-06-20,69,179,284,317
Gulf of Aden,2011-06-21,67,179,283,317
Gulf of Aden,2011-06-22,64,179,282,316
Gulf of Aden,2011-06-23,63,178,281,315
Gulf of Aden,2011-06-24,64,179,282,316
Gulf of Aden,2011-06-25,63,176,280,316
Gulf of Aden,2011-06-26,64,178,279,318
Gulf of Aden,2011-06-27,62,178,278,318
Gulf of Aden,2011-06-28,62,178,278,318
Gulf of Aden,2011-06-29,63,179,277,317
Gulf of Aden,2011-06-30,61,174,274,316
Gulf of Aden,2011-07-01,60,172,274,316
Gulf of Aden,2011-07-02,60,167,273,316
Gulf of Aden,2011-07-03,60,166,273,316
Gulf of Aden,2011-07-04,58,166,273,314
Gulf of Aden,2011-07-05,58,161,273,314
Gulf of Aden,2011-07-06,59,161,274,315
Gulf of Aden,2011-07-07,57,160,273,315
Gulf of Aden,2011-07-08,57,160,274,316
Gulf of Aden,2011-07-09,56,159,273,316
Gulf of Aden,2011-07-10,55,156,273,316
Gulf of Aden,2011-07-11,53,152,271,316
Gulf of Aden,2011-07-12,53,150,271,316
Gulf of Aden,2011-07-13,54,147,272,316
Gulf of Aden,2011-07-14,54,145,269,316
Gulf of Aden,2011-07-15,54,144,267,316
Gulf of Aden,2011-07-16,54,141,266,316
Gulf of Aden,2011-07-17,53,140,265,317
Gulf of Aden,2011-07-18,54,139,266,318
Gulf of Aden,2011-07-19,53,135,265,318
Gulf of Aden,2011-07-20,54,136,266,320
Gulf of Aden,2011-07-21,54,137,266,321
Gulf of Aden,2011-07-22,57,140,269,324
Gulf of Aden,2011-07-23,56,141,270,325
Gulf of Aden,2011-07-24,56,140,269,324
Gulf of Aden,2011-07-25,56,139,267,324
Gulf of Aden,2011-07-26,56,139,267,323
Gulf of Aden,2011-07-27,55,138,265,322
Gulf of Aden,2011-07-28,55,138,265,320
Gulf of Aden,2011-07-29,55,137,265,318
Gulf of Aden,2011-07-30,55,137,263,317
Gulf of Aden,2011-07-31,55,135,262,315
Gulf of Aden,2011-08-01,54,133,262,315
Gulf of Aden,2011-08-02,53,132,262,315
Gulf of Aden,2011-08-03,50,132,261,315
