year,lon_bin,lat_bin,number_attacks,grid_id
2012,-80,-15,2,5
2012,-80,-5,2,7
2012,-80,0,3,8
2012,-80,5,1,120
2012,-80,10,2,9
2012,-75,15,2,10
2012,-70,15,1,121
2012,-55,0,1,122
2012,-15,5,5,19
2012,-5,0,1,110
2012,-5,5,5,21
2012,0,0,6,111
2012,0,5,26,22
2012,0,35,1,123
2012,5,0,23,23
2012,10,-10,2,25
2012,10,-5,3,112
2012,25,30,5,113
2012,30,-20,2,124
2012,30,25,2,114
2012,35,-10,2,27
2012,35,-5,1,89
2012,40,-15,1,28
2012,40,10,15,32
2012,40,15,2,33
2012,45,-10,1,34
2012,45,-5,1,35
2012,45,10,5,38
2012,50,-10,1,39
2012,50,0,3,41
2012,50,5,6,42
2012,50,10,8,43
2012,50,15,2,93
2012,55,-5,1,45
2012,55,0,2,46
2012,55,5,4,47
2012,55,10,11,48
2012,55,15,5,49
2012,55,20,12,50
2012,55,25,9,51
2012,60,-10,1,125
2012,60,10,2,55
2012,60,15,6,95
2012,60,20,7,96
2012,65,-10,1,126
2012,65,5,2,56
2012,65,15,1,57
2012,65,20,1,117
2012,70,20,1,58
2012,75,5,2,59
2012,80,-5,1,127
2012,80,5,1,128
2012,80,15,4,63
2012,85,20,1,64
2012,90,20,11,65
2012,95,0,16,66
2012,95,5,1,67
2012,100,-10,2,129
2012,100,0,41,69
2012,100,5,1,130
2012,105,-10,7,70
2012,105,0,3,71
2012,105,5,2,72
2012,105,10,2,73
2012,105,20,2,74
2012,110,-10,3,105
2012,110,-5,7,106
2012,110,0,1,75
2012,115,-5,17,78
2012,115,5,3,80
2012,120,10,2,83
2012,120,30,1,131
2012,125,5,1,132
2013,-85,-5,6,1
2013,-85,15,1,4
2013,-80,-5,2,7
2013,-80,0,2,8
2013,-80,10,3,9
2013,-75,10,1,85
2013,-75,15,1,10
2013,-65,10,4,11
2013,-65,15,2,12
2013,-60,5,3,13
2013,-50,-25,1,133
2013,-35,5,1,134
2013,-20,20,1,135
2013,-15,5,3,19
2013,-10,30,1,136
2013,-5,0,3,110
2013,-5,5,2,21
2013,0,0,2,111
2013,0,5,21,22
2013,5,-5,3,137
2013,5,0,44,23
2013,10,-5,3,112
2013,10,30,1,138
2013,15,35,1,139
2013,20,30,1,140
2013,25,30,5,113
2013,30,-20,2,124
2013,30,25,2,114
2013,30,30,3,87
2013,35,-10,1,27
2013,35,-5,1,89
2013,40,0,1,31
2013,40,10,10,32
2013,40,15,2,33
2013,45,-10,3,34
2013,45,0,1,36
2013,45,10,8,38
2013,50,0,4,41
2013,50,5,2,42
2013,50,10,4,43
2013,50,25,1,141
2013,55,0,1,46
2013,55,20,3,50
2013,55,25,2,51
2013,60,20,1,96
2013,65,15,1,57
2013,65,20,2,117
2013,70,5,1,101
2013,70,20,6,58
2013,75,5,2,59
2013,80,15,3,63
2013,85,20,3,64
2013,90,20,18,65
2013,95,0,19,66
2013,95,5,1,67
2013,100,-10,1,129
2013,100,-5,1,102
2013,100,0,67,69
2013,105,-10,9,70
2013,105,-5,1,104
2013,105,0,4,71
2013,105,10,5,73
2013,105,20,4,74
2013,110,-10,7,105
2013,110,-5,9,106
2013,110,0,1,75
2013,115,-10,1,142
2013,115,-5,24,78
2013,115,0,1,79
2013,120,5,1,82
2013,120,10,5,83
2014,-85,10,1,3
2014,-80,0,1,8
2014,-80,10,1,9
2014,-75,40,1,143
2014,-70,15,1,121
2014,-65,10,4,11
