year,iso3,hours
2012,GHA,678621.5402777776
2012,BLZ,40148.28888888889
2012,MUS,623334.431111111
2012,RUS,4611632.559722222
2012,KNA,14670.468055555559
2012,PLW,113234.55000000002
2012,MAR,1069635.7997222224
2012,WSM,7121.894166666667
2012,OMN,964448.4855555556
2012,SGP,2521941.2338888897
2012,ALB,18479.036388888886
2012,THA,781891.1858333333
2012,CHN,35659838.138888896
2012,DEU,3411175.100277778
2012,TON,18722.788333333334
2012,ITA,2366142.3102777773
2012,GRC,2995855.338333334
2012,COG,300040.0025
2012,SVN,17968.383055555554
2012,VNM,1073440.5013888888
2012,IDN,10246172.883611111
2012,BGR,141437.7002777778
2012,IRL,258052.5697222222
2012,POL,689357.6725
2012,GNQ,266098.8313888888
2012,TUR,1849757.066666667
2012,EST,284044.69416666665
2012,FIN,520702.9283333334
2012,AZE,96071.93500000001
2012,BHS,575255.777777778
2012,CMR,166798.13499999995
2012,FJI,74707.765
2012,SOM,107415.56
2012,CUB,563144.3830555556
2012,MMR,293239.7061111111
2012,UKR,905870.4391666668
2012,NIC,145922.65777777776
2012,LBN,92877.06805555556
2012,COD,150857.1552777778
2012,FSM,528997.6088888888
2012,SYC,83149.49277777778
2012,GMB,58125.234444444446
2012,MNE,6478.9172222222205
2012,BIH,9.13
2012,PRK,91911.06361111111
2012,GTM,137984.3666666667
2012,LBR,352346.44194444444
2012,LVA,123579.01611111111
2012,COM,27188.68861111111
2012,TKM,93467.68888888888
2012,MYS,2566195.625555555
2012,TGO,386511.6783333333
2012,BGD,197611.1408333333
2012,QAT,215746.0675
2012,SWE,1568621.3041666665
2012,EGY,1730895.9930555555
2012,BRN,55352.088055555556
2012,GEO,57726.96916666667
2012,MHL,90464.9211111111
2012,"NA",211773.1986111111
2012,KAZ,76569.14694444442
2012,DJI,148049.85944444445
2012,NGA,1437890.6630555557
2012,LTU,69547.74222222224
2012,ROU,166240.10555555558
2012,MEX,2262818.618333333
2012,MRT,427276.03777777776
2012,LBY,477204.62527777784
2012,MLT,321603.7183333333
2012,SYR,40290.703333333346
2012,BEN,178052.57305555555
2012,TUN,465080.35277777765
2012,BHR,68440.12333333334
2012,LKA,1445608.6113888891
2012,JOR,31080.41388888888
2012,SLE,299249.77111111116
2012,KHM,72511.50722222222
2012,TTO,434538.1638888889
2012,YEM,1171494.081666667
2012,GRD,35541.54166666666
2012,BEL,2563700.2902777777
2012,GAB,283105.4266666667
2012,TZA,315392.0897222222
2012,MDV,145763.40416666667
2012,CYP,220135.93333333335
2012,IRQ,50214.017222222225
2012,SLB,169431.21083333335
2012,ISR,266610.22083333327
2012,GIN,274406.50777777773
2012,LCA,28978.283611111106
2012,IRN,1271803.9066666667
2012,HRV,103905.16361111111
2012,VCT,24966.74833333333
2012,KWT,76688.40249999998
2012,AGO,908939.5491666666
2012,TUV,15941.5675
2012,DZA,1164544.1374999997
2012,ATG,38072.5186111111
2012,MCO,1315.4708333333333
2012,NAM,454043.8316666667
2012,ESH,621405.3305555554
2012,SUR,131378.76305555558
2012,SAU,1262851.1208333333
2012,PAK,576552.2388888889
2012,CIV,462450.8925000001
2012,PAN,1497625.3005555556
2012,DMA,18665.15666666667
2012,NRU,12129.06888888889
2012,PSE,845.7477777777777
2012,MOZ,454369.0683333333
2012,VUT,24680.871111111108
2012,GNB,170956.37666666665
2012,ARG,1496612.0941666665
2012,CPV,312932.28472222236
2012,SLV,81240.78555555556
2012,PHL,2627998.351388889
2013,DJI,157063.3186111111
2013,LBR,336458.34777777776
2013,THA,1156921.4816666665
2013,BGD,195806.9666666667
2013,OMN,1154123.4613888885
2013,CYP,482412.0427777777
2013,LBY,787152.7024999999
2013,COD,138998.4813888889
2013,SUR,131912.43361111113
2013,MEX,2604980.9025
2013,WSM,6924.415
2013,KWT,99918.28694444444
2013,JOR,103170.48222222224
2013,BGR,588272.3097222222
2013,GEO,238622.3116666667
2013,TKM,312014.7750000001
2013,KAZ,200254.48555555558
2013,VUT,24217.381388888887
2013,MDV,132339.48944444445
2013,NGA,1383674.9594444446
2013,POL,780675.6897222222
2013,AGO,1007632.0177777779
2013,AZE,321147.5041666667
2013,FJI,88600.33694444445
2013,TUR,7061515.621944445
2013,MRT,387755.9275
2013,MOZ,517159.1116666667
2013,GRC,3819518.560555554
2013,IRN,1811375.223888889
2013,GNB,171302.70888888885
2013,TUV,8968.408888888891
2013,SAU,1617437.8188888894
2013,IRQ,103836.50444444446
2013,"NA",210737.2141666666
2013,SYC,121505.64499999999
2013,SWE,2256995.58
2013,MHL,101803.51222222224
2013,SOM,111477.15555555557
2013,NRU,20522.53083333333
2013,MNE,42439.10388888888
2013,GHA,687812.4111111112
2013,DMA,19931.34583333333
2013,ARG,1540710.520277778
2013,PSE,833.8872222222221
2013,ISR,510371.73444444436
2013,GTM,173177.1716666667
2013,MUS,654838.0997222223
2013,GNQ,265484.1413888889
2013,SLV,83688.69750000001
2013,IDN,11537181.268888887
2013,RUS,8851565.721111111
2013,LBN,272521.92500000005
2013,LKA,1476675.0494444447
2013,VCT,24891.913055555557
2013,MYS,3187548.6800000006
2013,NAM,457649.65611111105
2013,LTU,223644.24805555554
2013,NIC,154234.73444444442
2013,MMR,308581.51777777774
2013,LCA,28622.95055555555
2013,DZA,1503547.4158333335
2013,PAN,1619266.0244444446
2013,GRD,38416.00472222222
2013,COG,299836.2411111111
2013,HRV,433925.21138888877
2013,TZA,245533.31527777776
2013,EGY,2441430.4761111108
2013,TUN,647851.2830555555
2013,ALB,48109.13555555555
2013,YEM,1263447.3347222223
2013,GIN,273935.9436111111
2013,FIN,957311.3069444444
2013,ROU,769803.4366666668
2013,SGP,3849119.1319444436
2013,BEL,2943503.8108333326
2013,CUB,641292.4344444446
2013,PLW,115403.9897222222
2013,MAR,1158790.7658333334
2013,PAK,592835.6958333334
2013,ITA,4149759.133333333
2013,KHM,74417.10250000001
2013,EST,495517.5522222222
2013,PHL,3175751.433888889
2013,TON,19811.91916666667
2013,LVA,436112.44777777785
2013,VNM,2013226.5091666668
2013,CPV,304275.00499999995
2013,TGO,397015.00194444455
2013,CMR,266198.0008333333
2013,DEU,5210726.544444442
2013,COM,34497.27694444445
2013,KNA,15274.238888888889
2013,BHS,654530.9391666665
2013,BLZ,47267.08583333333
2013,SYR,141545.34027777778
2013,QAT,393419.943888889
2013,CHN,70739225.87166667
2013,ATG,34334.060000000005
2013,PRK,193843.80277777783
2013,SVN,80143.31111111112
2013,BEN,202441.77583333335
2013,MCO,1690.0247222222222
2013,BRN,65299.896111111106
2013,FSM,599518.9805555556
2013,SLB,207035.92111111118
2013,SLE,333300.7633333334
2013,ESH,621423.3527777777
2013,MLT,670553.5341666668
2013,GMB,58814.349444444444
2013,BHR,190696.36805555556
2013,TTO,486954.82638888893
2013,UKR,2520489.662777778
2013,GAB,280094.7924999999
2013,IRL,448869.1119444443
2013,CIV,496620.8436111112
2014,ALB,91119.9177777778
2014,EGY,2501067.3794444436
2014,LVA,477357.5402777778
2014,TON,24956.60416666667
2014,SYR,95374.57333333333
2014,MNE,39830.156388888885
2014,SLB,193938.6991666667
2014,BEL,3058975.591388889
2014,LBR,329036.41277777776
2014,MUS,666287.4741666666
2014,SUR,133060.1683333333
2014,AGO,993731.429444444
2014,VCT,26627.932777777783
2014,TUV,16592.804722222223
2014,CMR,355507.9613888889
2014,SLV,93086.89388888888
2014,GMB,70703.9002777778
2014,PHL,3378769.2302777776
2014,NGA,1495923.0452777778
2014,DEU,5656620.417777776
2014,CUB,620639.6875
2014,COG,277619.055
2014,GNQ,244153.6302777778
2014,PLW,131022.41194444445
2014,BHS,645023.0277777779
2014,GHA,701367.3405555554
2014,DMA,20485.64861111111
2014,YEM,1295266.8083333329
2014,COM,47244.16555555557
2014,HRV,438107.8077777778
2014,TGO,540839.7980555556
2014,SLE,329098.7433333334
2014,GEO,256052.7636111111
2014,MEX,2666926.3316666665
2014,FIN,887540.0638888889
2014,GTM,204165.09333333338
