year,iso3,hours
2012,WSM,7121.8941666666688
2012,CIV,462450.89250000007
2012,PSE,845.74777777777774
2012,JOR,31080.413888888885
2012,BLZ,40148.288888888892
2012,MMR,293239.7061111111
2012,GRC,2995855.3383333338
2012,SOM,107415.56
2012,LCA,28978.283611111106
2012,YEM,1171494.0816666668
2012,LBN,92877.068055555545
2012,BRN,55352.088055555549
2012,MNE,6478.9172222222214
2012,DMA,18665.156666666669
2012,UKR,905870.43916666671
2012,THA,781891.18583333329
2012,BGR,141437.70027777774
2012,BHR,68440.123333333351
2012,GNB,170956.37666666665
2012,ISR,266610.22083333333
2012,SUR,131378.76305555555
2012,LVA,123579.01611111112
2012,SVN,17968.383055555554
2012,VUT,24680.871111111112
2012,CYP,220135.93333333329
2012,SGP,2521941.23388889
2012,MYS,2566195.6255555549
2012,POL,689357.67249999987
2012,COD,150857.15527777781
2012,MUS,623334.43111111107
2012,VCT,24966.748333333337
2012,HRV,103905.16361111113
2012,KWT,76688.4025
2012,CMR,166798.13499999998
2012,BGD,197611.14083333337
2012,IDN,10246172.883611111
2012,ROU,166240.10555555558
2012,TKM,93467.6888888889
2012,TUV,15941.567500000001
2012,ATG,38072.5186111111
2012,PHL,2627998.3513888889
2012,DJI,148049.85944444442
2012,ARG,1496612.0941666667
2012,BEN,178052.57305555558
2012,PLW,113234.55
2012,IRL,258052.56972222222
2012,SWE,1568621.3041666667
2012,GRD,35541.54166666665
2012,FIN,520702.92833333334
2012,TGO,386511.67833333334
2012,SYR,40290.703333333346
2012,GIN,274406.50777777779
2012,KNA,14670.468055555561
2012,LBY,477204.62527777784
2012,TTO,434538.1638888889
2012,AZE,96071.934999999983
2012,PRK,91911.063611111109
2012,TUN,465080.35277777771
2012,QAT,215746.06749999998
2012,GNQ,266098.83138888882
2012,MRT,427276.03777777782
2012,LKA,1445608.6113888889
2012,COG,300040.0025
2012,KHM,72511.507222222222
2012,GMB,58125.234444444446
2012,TON,18722.788333333334
2012,ESH,621405.33055555553
2012,CPV,312932.28472222236
2012,PAN,1497625.3005555556
2012,MDV,145763.40416666667
2012,COM,27188.688611111113
2012,EST,284044.69416666671
2012,LTU,69547.742222222223
2012,PAK,576552.23888888874
2012,CHN,35659838.138888896
2012,ITA,2366142.3102777768
2012,NAM,454043.83166666655
2012,NA,211773.19861111109
2012,BEL,2563700.2902777782
2012,AGO,908939.54916666669
2012,SLE,299249.77111111116
2012,EGY,1730895.9930555557
2012,NIC,145922.65777777776
2012,NRU,12129.068888888887
2012,OMN,964448.48555555556
2012,VNM,1073440.5013888888
2012,DZA,1164544.1374999997
2012,LBR,352346.44194444444
2012,SAU,1262851.1208333336
2012,ALB,18479.03638888889
2012,TUR,1849757.0666666671
2012,CUB,563144.38305555563
2012,GHA,678621.54027777771
2012,DEU,3411175.1002777787
2012,MCO,1315.4708333333331
2012,RUS,4611632.5597222233
2012,IRQ,50214.017222222225
2012,FSM,528997.60888888885
2012,IRN,1271803.9066666667
2012,KAZ,76569.146944444437
2012,NGA,1437890.6630555554
2012,GAB,283105.4266666667
2012,MHL,90464.921111111122
2012,BHS,575255.777777778
